cluster_ID,genes
1,CD9;VMP1;PNRC1;TBX3;SCARB2;IFI35;BLVRA
2,LGALS3;RBM25;C15orf48;SPSB1;GBP2;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;CES1;AHNAK2
3,TYMP;GEM;SOCS1;TAP1;MAFF;GBP3;CXCL11;IL15RA;CD38;GBP1;CXCL10;CXCL9;LAP3;CCL5;IDO1;APOL2;SERPINB9;TNFSF13B
4,LY6E;IL1R1;PMAIP1;CSRNP1;GBP5;OPTN;MCL1;NAMPT;RBCK1;TNFAIP3;CD69;RGS1
5,ATF3;SPATS2L;HLA-C;HLA-A;HLA-B;JUNB;ODC1;FAM46A;FNDC3B;Fibroblasts NPY+ SLITRK6+;SERPING1;TIMP1;CEBPD;STAT1;BST2;EPSTI1;RARRES3;ADM
6,IFI44L;MX1;SP110;PSMB8;SPTLC2;LIPA;CYTH1;ARHGEF3;TRIM38;HELZ2;BTN3A3;ANXA2R;TMEM140;NMI;IFI44;CCDC109B;Endothelial cells DARC+;CYP1B1;IFNGR1;LEPR;TRIM25;VEGFC;ABLIM3;ERLIN1;TNFRSF10A
7,CDKN1A;CHMP5;LGMN;BAG1;DDX60;GAK;XAF1;OAS3;IL15;CPT1A;IRF2;PARP12;DTX3L;Pericytes HIGD1B+ STEAP4+;STEAP4;PSMB9;HLA-F;IFITM3;UBE2L6
8,MAX;ADAR;RNF213;DUSP5;GJA4;SUN2;PARP9;GLRX;PML;NCOA3;PRKD2;PLSCR1;Endothelial cells LTC4S+ SEMA3G+;IFIT1;NAPA;DCP1A;CDK17;TREX1;CASP7;SLC16A1;IRF7;RNF19B;MTHFD2L;OAS2
9,NCF1;PDK1;ETV7;DDX58;AIM2;IFI30;ENPP1;Fibroblasts SFRP2+ SLPI+;ACSL1;FNDC4;PLIN2;MYD88;SAMD4A;TRIM14;HLA-G;PMM2;MB21D1;MICB;HSH2D;ZBP1;PI4K2B;ARNTL;CFB;PADI2;B2M;RNASE4;CCR1;AMPH;ULK4;FZD5;ZNF385B;UPP2;TRIM34;TFEC;TAP2;STAP1;S100A8;PHF15;NT5C3;NOD2;NEURL3;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARG2;AQP9;ANKRD22;APOBEC3A;MASTL;MT1H;FUT4;C9orf91;GK;PUS1;TMEM255A;ABTB2;NDC80;TDRD7;STARD5;SERPINE1;P2RY6;NPAS2;SAA1;PDGFRL
10,PTMA;OGFR;SCO2;PFKFB3;TAGAP;CCDC92;LPCAT1;APOL1;MAFB;Inflammatory fibroblasts IL11+ CHI3L1+;Fibroblasts SMOC2+ PTGIS+;BCL3;JAK2;UNC93B1;COMMD3;PHF11;MYOF;TRIM21;SNN;C4orf33;B4GALT5;TRAFD1;CD274;IFIT5;OASL;GCH1;USP18;NFIL3;TCF7L2;RPL22;PXK;MAB21L2;RNF114;FKBP5;ANGPTL1;EIF3L;SIRPA;LRG1;SLC25A30;ANKFY1;CRY1;ETV6;AKT3;TLK2;Fibroblasts KCNN3+ LY6H+;RTP4;HERC6;WHAMM;PNPT1;GCA;IMPA2;GPX2;SECTM1;SLC1A1;MVB12B;TLR3;BATF2;TMEM51;MAP3K5;KIAA0040;SLC25A28;EXT1;MT1G;GBA;TRIM5;Stromal Cycling cells;Pericytes RERGL+ NTRK2+;SMAD3;ATP10D;ALYREF
11,ALDH1A1;MT1X;ST3GAL4;GALNT2;IRF9;CCL4;ISG20;SAMHD1;PPM1K;SLC15A3;Glial cells;FAM134B;RASSF4;MT1M;MT1F;TNFAIP6
12,MARCKS;C1S;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL2;CCL19;IL6ST;Fibroblasts ADAMDEC1+;IFIT2;CCL8
13,TXNIP;IFI27;NRN1;HLA-E;ELF1;SOCS2;IGFBP2;SLFN5;IFITM2;CCND3;IFI16;THBD;Endothelial cells CD36+;EHD4;HEG1;CD74;TNFSF10;CLEC2B;DDX3X;PIM3;LMO2;C4orf32
14,HES4;C10orf10;ISG15;IFI6;WARS;CX3CL1;VAMP5;GBP4;IFIT3;DDIT4
