cluster_ID,genes
1,MARCKS;C1S;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL2;CCL19;IL6ST;Fibroblasts ADAMDEC1+;IFIT2;CCL8
2,LY6E;TNFAIP3;CCL5;GBP1;CXCL10;CXCL9;LAP3;TYMP;GEM;SOCS1;TAP1;MAFF;GBP3;NAMPT;RBCK1;BCL3;CXCL11;CD38;IL15RA;TRAFD1;IDO1;APOL2;SERPINB9;TNFSF13B
3,ATF3;SPATS2L;HLA-C;HLA-A;HLA-B;JUNB;ODC1;FAM46A;FNDC3B;Fibroblasts NPY+ SLITRK6+;IL1R1;PMAIP1;SERPING1;TIMP1;CEBPD;STAT1;BST2;EPSTI1;RARRES3;ADM
4,CD9;PNRC1;LGALS3;RBM25;C15orf48;SPSB1;GBP2;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;CES1;AHNAK2
5,ALDH1A1;VMP1;MT1X;GALNT2;ST3GAL4;RASSF4;MT1M;MT1F;ISG20;UNC93B1;TNFAIP6;PPM1K;SLC15A3;Glial cells;FAM134B;SAMHD1;TBX3;SCARB2;IFI35;BLVRA
6,NCF1;PDK1;ETV7;DDX58;AIM2;MYOF;IFI30;Fibroblasts SFRP2+ SLPI+;ACSL1;FNDC4;TLR3;PLIN2;ALYREF;ENPP1;WHAMM;MYD88;SAMD4A;MB21D1;MICB;HSH2D;ZBP1;TRIM14;HLA-G;PMM2;MASTL;MT1H;FUT4;C9orf91;GK;STARD5;PI4K2B;ARNTL;CFB;PADI2;B2M;RNASE4;CCR1;AMPH;ULK4;FZD5;ZNF385B;UPP2;TRIM34;TFEC;TAP2;STAP1;S100A8;PHF15;NT5C3;NOD2;NEURL3;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARG2;AQP9;ANKRD22;APOBEC3A;SLC1A1;PUS1;CD274;TMEM255A;ABTB2;NDC80;SERPINE1;P2RY6;NPAS2;SAA1;PDGFRL
7,PTMA;OGFR;IRF2;GPX2;TAGAP;CCDC92;LPCAT1;MCL1;CD69;RGS1;APOL1;EIF3L;EXT1;BATF2;TMEM51;MAP3K5;ANKFY1;PNPT1;GCA;B4GALT5;MT1G;GBA;TRIM5;SCO2;PFKFB3;Stromal Cycling cells;Pericytes RERGL+ NTRK2+;SMAD3;IMPA2;MVB12B;ETV6;ATP10D;AKT3;TLK2;RTP4;Fibroblasts KCNN3+ LY6H+;SECTM1;SIRPA;LRG1;TCF7L2;RPL22;PXK;MAB21L2;RNF114;FKBP5;ANGPTL1;KIAA0040;MAFB;Inflammatory fibroblasts IL11+ CHI3L1+;Fibroblasts SMOC2+ PTGIS+
8,GLRX;PLSCR1;IFIT1;NAPA;DCP1A;TREX1;CASP7;PHF11;COMMD3;DTX3L;IFIT5;GCH1;OASL;CRY1;HERC6;USP18;NFIL3;TDRD7;CDK17;RNF19B;ERLIN1;TNFRSF10A;IFI44;ABLIM3;SLC25A30;SLC16A1;MTHFD2L;TRIM21;SLC25A28;OAS2;IRF7;SNN;C4orf33
9,IFI44L;MX1;SPTLC2;LIPA;CYTH1;ARHGEF3;TRIM38;HELZ2;BTN3A3;ANXA2R;SP110;TRIM25;IFNGR1;CCDC109B;LEPR;VEGFC;Endothelial cells DARC+;CYP1B1
10,CDKN1A;PSMB8;CSRNP1;GBP5;OPTN;TMEM140;NMI;UBE2L6;LGMN;BAG1;CHMP5;GAK;XAF1;OAS3;IL15;DDX60;PARP12;JAK2;PSMB9;HLA-F;IFITM3
11,DDIT4;MAX;CPT1A;ADAR;PML;NCOA3;PRKD2;SOCS2;DUSP5;Endothelial cells LTC4S+ SEMA3G+;GJA4;Pericytes HIGD1B+ STEAP4+;STEAP4;RNF213;CCL4;SUN2;IRF9;PARP9
12,HES4;VAMP5;GBP4;IFIT3;WARS;CX3CL1;C10orf10;ISG15;IFI6
13,CD74;TNFSF10;CLEC2B;DDX3X;PIM3;LMO2;C4orf32;TXNIP;IFI27;NRN1;HLA-E;ELF1;IGFBP2;SLFN5;IFITM2;CCND3;IFI16;THBD;Endothelial cells CD36+;EHD4;HEG1
