cluster_ID,genes
1,HES4;DDX3X;CD9;SUN2
2,SPATS2L;GEM;GBP2;Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+
3,ALDH1A1;ANGPTL1;ST3GAL4;PNRC1;PPM1K;VMP1;RBM25;GALNT2;COMMD3;RASSF4;Glial cells;SAMHD1;FAM134B;TMEM255A;SNN;ANKFY1;SLC15A3
4,MT1X;ODC1;CCL2;BAG1;ATF3;MT1M;MT1F;Pericytes RERGL+ NTRK2+;Pericytes HIGD1B+ STEAP4+;STEAP4
5,IFIT2;AKT3;IRF9;CX3CL1;HELZ2;OAS3;OAS2;RNF114;IRF7;GBP3;SLFN5;ERLIN1;DTX3L;TRIM38;MAX;ADAR;USP18;RTP4;APOL2;DDX58;HERC6;IRF2;IFIT5;RNF213;PI4K2B;SLC16A1;RNF19B
6,GJA4;ISG20;ABLIM3;PARP12;SP110;CYP1B1;VEGFC;CSRNP1;Endothelial cells LTC4S+ SEMA3G+;MYOF;PARP9;CASP7;DDX60;ULK4;GCH1;TRIM25;TAGAP
7,RPL22;MAB21L2;AHNAK2;RGS1;B4GALT5;MTHFD2L;CCDC92;DCP1A;PFKFB3;EIF3L;IMPA2;SAMD4A;NFIL3;KIAA0040;TCF7L2;NDC80;CFB;Fibroblasts SMOC2+ PTGIS+;PXK;ATP10D;ARNTL;OGFR
8,JUNB;FNDC4;FZD5;FUT4;EXT1;SMAD3;SLC25A30;PUS1;Inflammatory fibroblasts IL11+ CHI3L1+;GBP5;ARG2;MB21D1;PDK1;GPX2;MASTL;AMPH;GBA;TRAFD1;ZNF385B;MAP3K5;TRIM14;SECTM1;MICB;B2M;CD69;CXCL10;Stromal Cycling cells;WHAMM;C9orf91;TDRD7;JAK2;ETV7;PMM2;NPAS2;ZBP1;UPP2;TRIM34;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NCF1;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD274;CD163;CCR1;CCNA1;CCL4;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2;ACSL1;MVB12B;GK;UNC93B1
9,IDO1;CYTH1;BTN3A3;NMI;LPCAT1;TNFRSF10A;Endothelial cells DARC+;IL15;SCO2;MYD88;TLR3;ENPP1;CRY1;ALYREF;SLC25A28;TLK2;C15orf48;ETV6;PMAIP1;BATF2;C4orf33;TRIM21;OASL;SERPINE1;P2RY6
10,TMEM51;BLVRA;MT1H;NCOA3;CPT1A;PLIN2;Lymphatics;SIRPA;CCL5;CD38;RBCK1;SERPINB9;TMEM140;PNPT1;GAK
11,GBP1;EPSTI1;PHF11;ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;CCL19;MAFB;Fibroblasts ADAMDEC1+;CCL8;SOCS1
12,RARRES3;TYMP;IL1R1;TBX3;IFI35;OPTN;SCARB2;Fibroblasts NPY+ SLITRK6+;NAPA;STAT1;FNDC3B;TRIM5;TNFAIP3
13,LGALS3;DDIT4;MARCKS;C1S;TIMP1;CEBPD;APOL1;TNFAIP6;SERPING1;PDGFRL;Fibroblasts KCNN3+ LY6H+
14,CES1;C10orf10;LGMN;SPSB1;FKBP5;IL15RA;TXNIP;Fibroblasts SFRP2+ SLPI+;RNASE4;TNFSF13B;FAM46A;ADM;GLRX
15,CDKN1A;SOCS2;IFNGR1;IFIT1;IFITM3;LEPR;CCDC109B;NAMPT;LY6E;BST2;PLSCR1;MCL1;IL6ST;BCL3
16,PTMA;CHMP5;NRN1;LIPA;IFIT3;GCA
17,ISG15;IFI27;HLA-C;HLA-F;GBP4;WARS;HLA-B;HLA-A;VAMP5;PSMB8;CD74;CLEC2B;TNFSF10;IGFBP2;IFI16;THBD;PSMB9;Endothelial cells CD36+;LAP3;IFI6;IFI44;TAP1;XAF1;ARHGEF3;PML;HEG1;EHD4;IFI44L;MX1;TREX1
18,IFITM2;C4orf32;HLA-E;ELF1;PIM3;MT1G;Endothelial cells CA4+ CD36+;MAFF;UBE2L6;CCND3;SPTLC2;CDK17;DUSP5;LMO2;PRKD2;ANXA2R;LRG1
