cluster_ID,genes
1,CCL2;JUNB;DDX3X;PNRC1;CEBPD;ADM;IFITM2;IFI16;PLSCR1;GEM;MAFB;LAP3;MAFF;SERPINE1;MCL1;NAMPT;TNFAIP3;NFIL3;BCL3
2,ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;C1S;Fibroblasts ADAMDEC1+;CCL8;CLEC2B;RARRES3;IL6ST
3,CD74;IFITM3;VAMP5;MARCKS;DUSP5;CCND3;PIM3;NMI;IFIT3;NRN1;IFIT2;IFIT1;GBP4;IFI6;MT1X;HES4;LIPA;SUN2;GCA;MT1G;IFIT5
4,ATF3;CSRNP1;VMP1;DDIT4;SOCS1;SERPINB9;IFI35;GBP1;PFKFB3;TNFAIP6;SAMHD1;SLC16A1;SAMD4A;MT1M;Glial cells;RASSF4;ALDH1A1;FAM134B;ARG2;SLC15A3;TMEM140;PPM1K;UNC93B1;GALNT2;ARNTL
5,TIMP1;IL1R1;FAM46A;FNDC3B;WARS;BST2;SCARB2;ODC1;Fibroblasts NPY+ SLITRK6+;PMAIP1;ST3GAL4;COMMD3;EXT1;JAK2;ISG20;UBE2L6;OGFR;IFI30;PHF11;TRIM21;GLRX;Inflammatory fibroblasts IL11+ CHI3L1+;STAT1;Fibroblasts SMOC2+ PTGIS+
6,RPL22;EIF3L;SERPING1;TYMP;LY6E;PXK;EPSTI1;DDX60;CD69;PLIN2;IFI44;DTX3L;LGMN
7,SPATS2L;MAB21L2;RBM25;APOL1;IL15RA;TCF7L2;NCOA3;SCO2;CCDC92;WHAMM;DCP1A;MTHFD2L;TLK2;RNF19B;IRF9;ALYREF;STARD5;RTP4;SLC1A1;ETV6;BTN3A3;FKBP5;AKT3;VEGFC;IL15;MAX;SECTM1;IMPA2;Pericytes RERGL+ NTRK2+;ACSL1;PNPT1;TRAFD1;SNN;MICB;AMPH;ABTB2;NPAS2;PI4K2B;RBCK1;SLC25A28;B2M;MT1F;Stromal Cycling cells;C4orf33;PARP12;ANGPTL1;ATP10D;Fibroblasts SFRP2+ SLPI+;CASP7;GBA;GBP3;GAK;ULK4;APOL2;MYD88;ABLIM3;MAP3K5;SMAD3;ANKFY1;GBP5;TAGAP;RGS1;SLC25A30;MVB12B;GK;Fibroblasts KCNN3+ LY6H+;USP18;PDK1;TLR3;PUS1;C9orf91;HLA-G;ENPP1;FUT4;RNASE4;FFAR2;ETV7;MASTL;CD274;IDO1;HERC6;CFB;ERLIN1;TRIM14;TMEM255A;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SAA1;S100A8;PHF15;PDGFRL;PADI2;P2RY6;NT5C3;NOD2;NEURL3;NDC80;NCF1;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HSH2D;HESX1;GZMB;GPX2;G6PC;FTSJD2;FCGR1A;CYP1B1;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD38;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22;BATF2;FNDC4;TMEM51;OAS3;TRIM38;RNF114;PMM2;TNFRSF10A;OAS2;CCL5;C15orf48;CCL4;TDRD7;GCH1;OASL;CCDC109B;LPCAT1;B4GALT5;FZD5;KIAA0040;MYOF;MB21D1;SIRPA;CCL19;TNFSF13B;CXCL10
8,HLA-E;TNFSF10;CDKN1A;C10orf10;HEG1;Endothelial cells CD36+;TAP1;MX1;IRF7;CYTH1;Endothelial cells DARC+;EHD4;THBD;LMO2;SLFN5;C4orf32;CHMP5;LEPR;STEAP4;GJA4;CX3CL1;ARHGEF3;NAPA;ADAR;SPTLC2;CDK17;SP110;TRIM5;CRY1;IRF2;ANXA2R;CPT1A;HELZ2;RNF213;IFNGR1;TREX1;TRIM25;IFI44L;Endothelial cells LTC4S+ SEMA3G+;Pericytes HIGD1B+ STEAP4+;XAF1;DDX58;PRKD2;LRG1;PML
9,LGALS3;GBP2;Myofibroblasts HHIP+ NPNT+;CES1;BAG1;PTMA;BLVRA;SPSB1;Myofibroblasts GREM1+ GREM2+;PARP9;AHNAK2
10,PSMB9;PSMB8;ISG15;SOCS2;ELF1;HLA-F;IGFBP2;OPTN
11,HLA-C;HLA-A;HLA-B;IFI27;TXNIP;CD9;TBX3
