cluster_ID,genes
1,CD9;HLA-C;HLA-A;HLA-B;IFI27;TXNIP
2,ADAMDEC1;Activated fibroblasts CCL19+ ADAMADEC1+;C1S;Fibroblasts ADAMDEC1+;CCL8;CLEC2B;RARRES3;IL6ST
3,CCL2;JUNB;DDX3X;PNRC1;CEBPD;ADM;MAFB
4,IFITM2;IFI16;HLA-E;PLSCR1
5,GEM;LAP3;MAFF;SERPINE1;MCL1;NAMPT;TNFAIP3;NFIL3;BCL3
6,RPL22;EIF3L;SERPING1;TYMP;LY6E;DDX60;CD69;PLIN2;IFI44;DTX3L;LGMN
7,IFIT5;GBP3;GAK;ULK4;RNF213;TCF7L2;NCOA3;TREX1;CCDC109B;TRIM25;Endothelial cells LTC4S+ SEMA3G+;PML;HELZ2;LRG1;KIAA0040;IRF2;SLC25A28;OAS3;RNF114;PMM2;TNFRSF10A;OAS2;LPCAT1;ACSL1;MAX;SECTM1;CCL5;C15orf48;CCL4;TDRD7;GCH1;OASL;ANXA2R;TRIM38;SIRPA
8,PNPT1;C9orf91;HLA-G;TRAFD1;SNN;MICB;AMPH;ABTB2;NPAS2;TAGAP;RGS1;SLC25A30;MVB12B;GK;USP18;PDK1;PUS1;SMAD3;ANKFY1;HERC6;CFB;IDO1;ENPP1;FUT4;RNASE4;FFAR2;ETV7;MASTL;CD274;B4GALT5;FZD5;ERLIN1;TRIM14;TMEM255A;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SAA1;S100A8;PHF15;PDGFRL;PADI2;P2RY6;NT5C3;NOD2;NEURL3;NDC80;NCF1;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HSH2D;HESX1;GZMB;GPX2;G6PC;FTSJD2;FCGR1A;CYP1B1;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD38;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22
9,SAMD4A;IMPA2;PI4K2B;RBCK1;B2M;MT1F;ARNTL;Stromal Cycling cells;C4orf33;PARP12;TLR3;Fibroblasts KCNN3+ LY6H+;ANGPTL1;ATP10D;WHAMM;DCP1A;MTHFD2L;TLK2;RNF19B;IRF9;MYOF;MB21D1
10,CCL19;EPSTI1;TNFSF13B;CXCL10;PXK;MAB21L2;WARS;RBM25;APOL1;IL15RA;MAP3K5;APOL2;MYD88;BATF2;FNDC4;TMEM51;ABLIM3
11,ST3GAL4;COMMD3;EXT1;STARD5;JAK2;GLRX;Inflammatory fibroblasts IL11+ CHI3L1+;STAT1;Fibroblasts SMOC2+ PTGIS+;ISG20;Fibroblasts SFRP2+ SLPI+;CASP7;GBA;SCO2;CCDC92;PHF11;TRIM21;IFI30;UBE2L6;RTP4;OGFR;GBP5;SLC1A1
12,BAG1;Myofibroblasts HHIP+ NPNT+;CES1;SPSB1;Myofibroblasts GREM1+ GREM2+;PARP9
13,TBX3;IFI35;LGALS3;GBP2;BLVRA
14,PSMB9;PSMB8;ISG15;SOCS2;ELF1;HLA-F;IGFBP2;OPTN
15,PTMA;MT1G;SUN2;GCA;LIPA;ETV6;BTN3A3;FKBP5;NAPA;ADAR;SP110;CDK17;SPTLC2;TRIM5;CRY1;IL15;ALYREF;AHNAK2;AKT3;VEGFC;Pericytes RERGL+ NTRK2+
16,TNFSF10;CDKN1A;DUSP5;CCND3;MX1;TAP1;GBP4;IRF7;C10orf10;HEG1;Endothelial cells CD36+;EHD4;THBD;LMO2;SLFN5;C4orf32;CPT1A;IFNGR1;XAF1;IFI44L;Pericytes HIGD1B+ STEAP4+;DDX58;CYTH1;Endothelial cells DARC+;CHMP5;LEPR;STEAP4;GJA4;CX3CL1;ARHGEF3;PRKD2
17,CD74;IFITM3;VAMP5;MARCKS;IFI6;MT1X;HES4;PIM3;NMI;IFIT2;IFIT3;NRN1;IFIT1
18,ATF3;CSRNP1;SLC16A1;GBP1;PFKFB3;TNFAIP6;SAMHD1;VMP1;DDIT4;SOCS1;SERPINB9;MT1M;SLC15A3;TMEM140;GALNT2;Glial cells;RASSF4;ALDH1A1;FAM134B;ARG2;PPM1K;UNC93B1
19,TIMP1;IL1R1;FAM46A;ODC1;Fibroblasts NPY+ SLITRK6+;PMAIP1
20,FNDC3B;BST2;SCARB2;SPATS2L
