cell_name,new_genes,known_genes
Activated fibroblasts CCL19+ ADAMADEC1+,GBP2;SAMHD1;VMP1;LGMN;ADM;TYMP;RARRES3;EPSTI1;CASP7;CCL8;SOCS1;TCF7L2;TNFSF13B,
Endothelial cells CD36+,CCND3;SOCS2;CHMP5;IFITM2;C4orf32;DDX3X;IGFBP2;IFI6;MX1;EHD4,
Endothelial cells DARC+,CYP1B1;VEGFC;GCA;LRG1;TNFRSF10A;B4GALT5;IFITM3;TRIM25;TAGAP,
Endothelial cells LTC4S+ SEMA3G+,IFIT3;ISG15;CX3CL1;HELZ2;IRF7;CYTH1;OAS3;PML;PRKD2;NMI;PARP12;SLFN5;ADAR;TREX1;HEG1;NCOA3;PARP9;IFIT5;SLC25A28;IRF9;SECTM1;GCH1;BTN3A3;TRIM38;SCO2,
Fibroblasts ADAMDEC1+,GBP2;SAMHD1;VMP1;LGMN;ADM;TYMP;RARRES3;EPSTI1;CASP7;SOCS1;TCF7L2;TNFSF13B,
Fibroblasts KCNN3+ LY6H+,CCL2;MARCKS;TNFAIP6;ST3GAL4;PDGFRL;APOL1;IL15RA;RNF114;SPATS2L;PPM1K;RNASE4;SPSB1;FNDC4;Fibroblasts SMOC2+ PTGIS+;GBA,
Fibroblasts NPY+ SLITRK6+,TXNIP;PMAIP1;IFI35;GBP4;RBM25;STAT1;PHF11;RTP4;EXT1;GBP3;ISG20;ABLIM3;MYOF;GLRX;NAPA;GBP1;MCL1;OGFR,
Fibroblasts SFRP2+ SLPI+,C1S;FKBP5;SERPING1;TIMP1;FAM46A,
Fibroblasts SMOC2+ PTGIS+,CCL2;MARCKS;TNFAIP6;ST3GAL4;PDGFRL;APOL1;IL15RA;RNF114;SPATS2L;PPM1K;SPSB1;Fibroblasts KCNN3+ LY6H+;FNDC4;GBA;SAMD4A,
Glial cells,SP110;MAX;RASSF4;SNN;CCDC92;RBCK1;IFIT2;SLC15A3;TMEM255A;IRF2;USP18;RNF213;PFKFB3;ARG2;ANKFY1;GAK;WHAMM;TRIM14;UNC93B1;FAM134B,
Inflammatory fibroblasts IL11+ CHI3L1+,ETV6;TLK2;ACSL1;LPCAT1;C4orf33;DDX58;IDO1;HERC6;ARNTL;SMAD3;ULK4;GK;ALYREF;JAK2;AMPH;FUT4;PUS1;B2M;ABTB2;NPAS2;TRIM21;SLC25A30;Stromal Cycling cells;PDK1;MASTL;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SLC1A1;SAA1;S100A8;PMM2;PHF15;PADI2;P2RY6;NT5C3;NOD2;NEURL3;MT1H;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;G6PC;FTSJD2;FFAR2;FCGR1A;CXCL9;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22;MB21D1;TDRD7;NCF1;CD274;MICB;ETV7;TRAFD1;GBP5;CXCL10;CXCL11;STARD5;BATF2;ENPP1;CCL19;SIRPA;CD38,
Myofibroblasts GREM1+ GREM2+,GEM;ANGPTL1;PNRC1;CES1;AHNAK2;IMPA2;BLVRA;EIF3L;COMMD3;SLC16A1;CRY1,
Myofibroblasts HHIP+ NPNT+,GEM;ANGPTL1;PNRC1;CES1;AHNAK2;IMPA2;BLVRA;EIF3L;COMMD3;SLC16A1;CRY1,
Pericytes HIGD1B+ STEAP4+,CEBPD;KIAA0040;MTHFD2L;GJA4;NFIL3;Pericytes RERGL+ NTRK2+;SERPINE1;JUNB;CPT1A;MT1F;OASL;APOL2;TLR3;ERLIN1;DCP1A;AKT3;NDC80;DDX60;PNPT1;RNF19B;MYD88;CCL5;CD69;FZD5;ATP10D,
Pericytes RERGL+ NTRK2+,CEBPD;STEAP4;KIAA0040;TMEM51;GJA4;NFIL3;Pericytes HIGD1B+ STEAP4+;SERPINE1;JUNB;CPT1A;MT1F;APOL2;TLR3;ERLIN1;DCP1A;AKT3;NDC80;DDX60;RNF19B;MYD88;CCL5;CD69;FZD5;MAP3K5,
Stromal Cycling cells,ETV6;LPCAT1;DDX58;IDO1;HERC6;SMAD3;JAK2;PUS1;NPAS2;TRIM21;SLC25A30;PDK1;ZBP1;SLC1A1;FFAR2;CXCL9;MB21D1;TDRD7;NCF1;TRAFD1;GBP5;CXCL10;STARD5;BATF2;Inflammatory fibroblasts IL11+ CHI3L1+;ENPP1;CCL19;SIRPA;CD38,
