cluster_ID,genes
1,AKT3;ARHGEF3;CCDC109B;CHMP5;CLEC2B;ELF1;EPSTI1;GBP5;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);LY6E;PHF11;PSMB9;SLFN5;SUN2;T cells CD4+ FOSB+;T cells OGT+;UBE2L6;VAMP5
2,CCL5;CD69;DDIT4;HLA-A;HLA-B;HLA-C;HLA-F;IRF2;KIAA0040;MT1X;OPTN;RARRES3;SOCS1;T cells CD8+ KLRG1+;TAGAP;Tregs
3,CCND3;DDX3X;MAX;RBCK1;RBM25;TNFSF10
4,AHNAK2;C4orf32;CCDC92;HELZ2;Mast cells;PTMA;RPL22;SMAD3;SOCS2;ST3GAL4
5,ABLIM3;ADM;C4orf33;C9orf91;CASP7;CD274;CD80;CPT1A;CXCL10;DC1;ERLIN1;FFAR2;FUT4;FZD5;IFI44;IFIT2;ILCs;LAMP3;LEPR;LRG1;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;MASTL;Mature DCs;MB21D1;MCOLN2;Monocytes S100A8+ S100A9+;MT1G;MT1H;NCOA3;Neutrophils S100A8+ S100A9+;OAS3;PML;PUS1;S100A8;TDRD7;TLK2;TLR3;TMEM255A;TRIM21;TRIM25;ULK4
6,ABTB2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;B cells AICDA+ LRMP+;B2M;BATF2;BCL2L14;C1S;C22orf28;C5orf27;CCL19;CCL2;CCL8;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CRY1;CTCFL;CX3CL1;CXCL11;CXCL9;ENPP1;FNDC4;FTSJD2;G6PC;GJA4;GPX2;HESX1;IDO1;IFI44L;IFIT1;IFNLR1;IGFBP2;IL15;IL15RA;IL17RB;MAB21L2;MAP3K14;MKX;MT1M;MTHFD2L;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;RNASE4;SAA1;SLC1A1;SPSB1;STEAP4;TAP2;TBX3;TNFAIP6;TNFRSF10A;TRIM34;UPP2;VEGFC;ZNF385B
7,AIM2;ALYREF;ANXA2R;ARNTL;ATP10D;BTN3A3;BUB1;FAM134B;GCH1;GZMB;HERC6;HLA-G;IFI27;IFI6;IFIT3;IFIT5;Immune Cycling cells;IMPA2;IRF7;MICB;NDC80;NK cells KLRF1+ CD3G-;PSMB8;PXK;SLC16A1;SLC25A28;T cells CD8+;TAP1;TRAFD1;TREX1;USP18
8,APOL1;BAG1;CDK17;DCP1A;DDX58;ETV7;IFI35;IRF9;Macrophages Metallothionein;MX1;OAS2;OASL;PI4K2B;PNPT1;RTP4;SERPINE1;SLC25A30;T cells CD4+ IL17A+;T cells Naive CD4+;TRIM5
9,CD38;HSH2D;ISG20;MT1F;PDK1;Plasma cells;PMM2;PPM1K;ZBP1
10,BST2;COMMD3;DUSP5;GLRX;ODC1;STAP1;STARD5
11,APOL2;B cells;C10orf10;FNDC3B;GALNT2;PRKD2;TMEM140;WHAMM
12,C15orf48;CDKN1A;DC2 CD1D-;DC2 CD1D+;EIF3L;ETV6;FKBP5;GCA;GEM;IFI30;IL1RN;LMO2;MVB12B;MYD88;NMI;P2RY6;PFKFB3;PIM3;PMAIP1;SCO2;SERPINB9;SPATS2L;THBD;TYMP
13,ATF3;BLVRA;CCL4;CCR1;CD163;CD74;CEBPD;CSRNP1;HES4;IFI16;IFITM3;IFNGR1;LAP3;LGALS3;LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MAFF;MARCKS;MSR1;NAMPT;NCF1;PLIN2;PLSCR1;RASSF4;SAMHD1;SCARB2;SECTM1;SERPING1;SIRPA;SLC15A3;SNN;TFEC;TIMP1;TNFSF13B;TRIM14;WARS
14,ALDH1A1;B4GALT5;BCL3;FAM46A;HEG1;JUNB;MCL1;SAMD4A;SPTLC2
15,ACSL1;ADAMDEC1;ANKFY1;CD9;CLEC4E;CYP1B1;CYTH1;EXT1;FCGR1A;GBA;GK;LPCAT1;Macrophages PLA2G2D+;MAP3K5;Monocytes CHI3L1+ CYP27A1+;MYOF;NAPA;NFIL3;PARP12;RNF19B;TCF7L2;TMEM51;UNC93B1
16,ADAR;DDX60;DTX3L;EHD4;GAK;GBP1;GBP3;GBP4;HLA-E;IL1R1;IL6ST;JAK2;OGFR;PARP9;PNRC1;RGS1;RNF114;TRIM38;XAF1
17,GBP2;IFITM2;ISG15;RNF213;SP110;STAT1;TNFAIP3;TXNIP;VMP1
