cluster_ID,genes
1,GBP1;PIM3;PMAIP1;TNFAIP3;TRIM38;TYMP
2,ATF3;C15orf48;CD74;CEBPD;EIF3L;FKBP5;IFI16;LAP3;NAMPT;PLSCR1;SAMHD1
3,BLVRA;CCL4;CCR1;CD163;CSRNP1;FAM46A;HES4;IFITM3;IFNGR1;LGALS3;LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MAFF;MARCKS;MSR1;NCF1;PLIN2;RASSF4;SCARB2;SECTM1;SIRPA;SLC15A3;SNN;TFEC;TIMP1;TNFSF13B;TRIM14
4,CD80;CDKN1A;CPT1A;DC2 CD1D-;DC2 CD1D+;ETV6;GCA;GEM;IFI30;IL1RN;IMPA2;LMO2;MAX;MVB12B;MYD88;NMI;P2RY6;PFKFB3;SCO2;SERPINB9;SPATS2L;THBD
5,CLEC2B;GBP2;ISG15;LY6E;RNF213;STAT1;SUN2;VAMP5
6,ELF1;IFITM2;SLFN5;SP110;TXNIP;VMP1
7,CCDC109B;CCND3;EPSTI1;Immune Cycling cells;NDC80;PSMB8;PSMB9;PXK;RBCK1;RBM25;TAP1
8,ANXA2R;ARNTL;CCL5;GBP5;GZMB;HERC6;HLA-C;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF2;PHF11;T cells CD8+;T cells CD8+ KLRG1+;T cells OGT+;Tregs
9,CDK17;HLA-A;HLA-B;IRF9;MT1X;MX1;PI4K2B;PNPT1;RTP4;T cells Naive CD4+;TAGAP;TRIM5
10,CD69;DDIT4;KIAA0040;ODC1;OPTN;RARRES3;SOCS1
11,CCDC92;DDX3X;MCL1;RPL22;SMAD3;SOCS2;TNFSF10
12,ALDH1A1;B4GALT5;BCL3;C9orf91;DCP1A;HEG1;JUNB;SAMD4A;SLC25A30;SPTLC2
13,AKT3;ARHGEF3;CHMP5;DDX58;DDX60;GBP3;HLA-E;IL1R1;OAS2;RNF114;T cells CD4+ FOSB+;UBE2L6
14,ADAR;ANKFY1;CYTH1;DTX3L;EHD4;EXT1;FCGR1A;GAK;GBP4;IL6ST;JAK2;MYOF;NAPA;OGFR;PARP9;PNRC1;RGS1;RNF19B;SERPING1;TCF7L2;TMEM51;UNC93B1;WARS;XAF1
15,ACSL1;ADAMDEC1;CD9;CLEC4E;CYP1B1;GBA;GK;LPCAT1;Macrophages PLA2G2D+;MAP3K5;Monocytes CHI3L1+ CYP27A1+;NFIL3;OAS3;PARP12;TMEM255A
16,APOL2;B cells;C10orf10;FNDC3B;GALNT2;GLRX;PRKD2;STAP1;STARD5;TMEM140;WHAMM
17,AIM2;ALYREF;ATP10D;BTN3A3;BUB1;CRY1;ETV7;FAM134B;GCH1;HLA-G;IFI27;IFI35;IFI6;IFIT3;IFIT5;IRF7;Macrophages Metallothionein;MICB;NK cells KLRF1+ CD3G-;OASL;SLC16A1;SLC25A28;TRAFD1;TREX1;USP18
18,ABLIM3;ADM;APOL1;BAG1;C4orf32;C4orf33;CASP7;CD274;CXCL10;CXCL9;DC1;ERLIN1;FFAR2;FUT4;FZD5;IFI44;IFIT2;ILCs;LAMP3;LEPR;LRG1;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;MASTL;Mature DCs;MB21D1;MCOLN2;Monocytes S100A8+ S100A9+;MT1G;MT1H;MT1M;NCOA3;Neutrophils S100A8+ S100A9+;PML;PUS1;S100A8;T cells CD4+ IL17A+;TDRD7;TLK2;TLR3;TRIM21;TRIM25;ULK4
19,ABTB2;AHNAK2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;B cells AICDA+ LRMP+;B2M;BATF2;BCL2L14;C1S;C22orf28;C5orf27;CCL19;CCL2;CCL8;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;ENPP1;FNDC4;FTSJD2;G6PC;GJA4;GPX2;HELZ2;HESX1;IDO1;IFI44L;IFIT1;IFNLR1;IGFBP2;IL15;IL15RA;IL17RB;MAB21L2;MAP3K14;Mast cells;MKX;MTHFD2L;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;PTMA;RNASE4;SAA1;SERPINE1;SLC1A1;SPSB1;ST3GAL4;STEAP4;TAP2;TBX3;TNFAIP6;TNFRSF10A;TRIM34;UPP2;VEGFC;ZNF385B
20,BST2;CD38;COMMD3;DUSP5;HSH2D;ISG20;MT1F;PDK1;Plasma cells;PMM2;PPM1K;ZBP1
