cluster_ID,genes
1,GBP1;GBP2;ISG15;LY6E;RNF213;STAT1;SUN2;VAMP5
2,ELF1;IFITM2;MCL1;SLFN5;SP110;TXNIP;VMP1
3,ADAMDEC1;ADAR;CCR1;CD163;GBP4;LGMN;MSR1;SCARB2;SECTM1;SERPING1;TCF7L2;TMEM51;TNFSF13B;UNC93B1;WARS
4,CCL4;IFITM3;IFNGR1;LGALS3;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MAFF;MARCKS;NCF1;RASSF4;SIRPA;SLC15A3;SNN;TFEC;TIMP1;TRIM14
5,BLVRA;CSRNP1;FAM46A;HES4;PLIN2;TNFAIP3
6,ATF3;C15orf48;CD74;CEBPD;EIF3L;FKBP5;IFI16;LAP3;NAMPT;PLSCR1;SAMHD1;TYMP
7,ALDH1A1;ANKFY1;DTX3L;EHD4;EXT1;GAK;HEG1;HLA-E;IL6ST;JAK2;JUNB;MYOF;NAPA;OGFR;PARP9;PNRC1;RGS1;RNF114;RNF19B;SPTLC2;TRIM38;XAF1
8,ACSL1;C9orf91;CD9;CLEC4E;CYP1B1;CYTH1;FCGR1A;GBA;GK;LPCAT1;Macrophages PLA2G2D+;MAP3K5;Monocytes CHI3L1+ CYP27A1+;NFIL3;OAS3;PARP12;SAMD4A;TMEM255A
9,BCL3;CD80;CPT1A;DC2 CD1D-;DC2 CD1D+;GEM;IL1RN;LMO2;MAX;PIM3;SCO2
10,CDKN1A;ETV6;GCA;IFI30;IMPA2;MVB12B;MYD88;NMI;P2RY6;PFKFB3;PMAIP1;SERPINB9;SPATS2L;THBD
11,BST2;CD38;COMMD3;DUSP5;HSH2D;ISG20;MT1F;ODC1;PDK1;Plasma cells;PMM2;PPM1K;ZBP1
12,CCDC109B;CCL5;CCND3;CLEC2B;EPSTI1;GBP5;HLA-C;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF2;MT1X;OPTN;PHF11;PSMB8;PSMB9;RARRES3;RBCK1;RBM25;T cells CD8+ KLRG1+;T cells OGT+;Tregs
13,AKT3;APOL1;ARHGEF3;CDK17;CHMP5;DCP1A;DDX58;DDX60;GBP3;HLA-A;HLA-B;IL1R1;MX1;OAS2;PI4K2B;PNPT1;SLC25A30;T cells CD4+ FOSB+;TAGAP;TRIM5;UBE2L6
14,AIM2;ALYREF;ANXA2R;ARNTL;B4GALT5;BTN3A3;BUB1;CRY1;ETV7;FAM134B;GCH1;GZMB;HERC6;HLA-G;IFI27;IFI35;IFI6;IFIT3;IFIT5;Immune Cycling cells;IRF7;IRF9;MICB;NDC80;NK cells KLRF1+ CD3G-;OASL;PXK;SLC16A1;SLC25A28;T cells CD8+;T cells Naive CD4+;TAP1;TRAFD1;TREX1;USP18
15,CCDC92;CD69;DDIT4;DDX3X;KIAA0040;RPL22;SMAD3;SOCS1;SOCS2;TNFSF10
16,APOL2;B cells;C10orf10;FNDC3B;GALNT2;GLRX;PRKD2;STAP1;STARD5;TMEM140;WHAMM
17,ABLIM3;ADM;ATP10D;BAG1;C4orf32;CD274;CXCL10;CXCL9;DC1;ERLIN1;FFAR2;FUT4;IFI44;IFIT2;ILCs;LAMP3;LRG1;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages Metallothionein;MASTL;Mature DCs;MB21D1;MCOLN2;Monocytes S100A8+ S100A9+;MT1G;MT1H;MT1M;NCOA3;Neutrophils S100A8+ S100A9+;PML;PUS1;T cells CD4+ IL17A+;TDRD7;TLK2;TLR3;TRIM21;TRIM25;ULK4
18,ABTB2;AHNAK2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;AQP9;ARG2;B cells AICDA+ LRMP+;B2M;BATF2;BCL2L14;C1S;C22orf28;C4orf33;C5orf27;CASP7;CCL19;CCL2;CCL8;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;ENPP1;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HELZ2;HESX1;IDO1;IFI44L;IFIT1;IFNLR1;IGFBP2;IL15;IL15RA;IL17RB;LEPR;MAB21L2;MAP3K14;Mast cells;MKX;MTHFD2L;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;PTMA;RNASE4;RTP4;S100A8;SAA1;SERPINE1;SLC1A1;SPSB1;ST3GAL4;STEAP4;TAP2;TBX3;TNFAIP6;TNFRSF10A;TRIM34;UPP2;VEGFC;ZNF385B
