cluster_ID,genes
1,AKT3;ALYREF;ANXA2R;ARHGEF3;ARNTL;B4GALT5;BTN3A3;CCDC109B;CCL5;CCND3;CD69;CDK17;CHMP5;CLEC2B;DDIT4;DDX3X;DDX58;DDX60;ELF1;EPSTI1;FAM134B;GBP3;GBP5;GZMB;HEG1;HERC6;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IFI6;IFIT5;IFITM2;IL1R1;Immune Cycling cells;IRF2;IRF9;ISG20;KIAA0040;LY6E;MCL1;MT1X;NDC80;OAS2;ODC1;OPTN;PHF11;PNPT1;PPM1K;PSMB8;PSMB9;PXK;RARRES3;RBCK1;RBM25;SLFN5;SOCS1;SOCS2;SP110;SPTLC2;SUN2;T cells CD4+ FOSB+;T cells CD8+;T cells CD8+ KLRG1+;T cells Naive CD4+;T cells OGT+;TAGAP;TAP1;TNFSF10;Tregs;TREX1;TRIM5;TXNIP;UBE2L6;VAMP5;VMP1
2,ABLIM3;ABTB2;ADM;AHNAK2;AIM2;AMPH;ANGPTL1;ANKRD22;APOBEC3A;APOL1;APOL2;AQP9;ARG2;ATP10D;B cells;B cells AICDA+ LRMP+;B2M;BAG1;BATF2;BCL2L14;BCL3;BST2;BUB1;C10orf10;C1S;C22orf28;C4orf32;C4orf33;C5orf27;C9orf91;CASP7;CCDC92;CCL19;CCL2;CCL8;CCNA1;CD274;CD38;CES1;CFB;CLEC4D;CMAHP;COMMD3;CREB3L3;CRP;CRY1;CTCFL;CX3CL1;CXCL10;CXCL11;CXCL9;DC1;DCP1A;DUSP5;ENPP1;ERLIN1;ETV7;FFAR2;FNDC3B;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GALNT2;GCH1;GJA4;GK;GLRX;GPX2;HELZ2;HESX1;HLA-G;HSH2D;IDO1;IFI27;IFI35;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFNLR1;IGFBP2;IL15;IL15RA;IL17RB;ILCs;IMPA2;IRF7;LAMP3;LEPR;LRG1;MAB21L2;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages Metallothionein;Macrophages PLA2G2D+;MAP3K14;Mast cells;MASTL;Mature DCs;MB21D1;MCOLN2;MICB;MKX;Monocytes CHI3L1+ CYP27A1+;Monocytes S100A8+ S100A9+;MT1F;MT1G;MT1H;MT1M;MTHFD2L;MX1;NCOA3;NEURL3;Neutrophils S100A8+ S100A9+;NK cells KLRF1+ CD3G-;NOD2;NPAS2;NRN1;NT5C3;OAS3;OASL;PADI2;PDGFRL;PDK1;PHF15;PI4K2B;Plasma cells;PML;PMM2;PRKD2;PTMA;PUS1;RNASE4;RPL22;RTP4;S100A8;SAA1;SAMD4A;SERPINE1;SLC16A1;SLC1A1;SLC25A28;SLC25A30;SMAD3;SPSB1;ST3GAL4;STAP1;STARD5;STEAP4;T cells CD4+ IL17A+;TAP2;TBX3;TDRD7;TLK2;TLR3;TMEM140;TMEM255A;TNFAIP6;TNFRSF10A;TRAFD1;TRIM21;TRIM25;TRIM34;ULK4;UPP2;USP18;VEGFC;WHAMM;ZBP1;ZNF385B
3,ACSL1;ADAMDEC1;ADAR;ALDH1A1;ANKFY1;ATF3;BLVRA;C15orf48;CCL4;CCR1;CD163;CD74;CD80;CD9;CDKN1A;CEBPD;CLEC4E;CPT1A;CSRNP1;CYP1B1;CYTH1;DC2 CD1D-;DC2 CD1D+;DTX3L;EHD4;EIF3L;ETV6;EXT1;FAM46A;FCGR1A;FKBP5;GAK;GBA;GBP1;GBP2;GBP4;GCA;GEM;HES4;IFI16;IFI30;IFITM3;IFNGR1;IL1RN;IL6ST;ISG15;JAK2;JUNB;LAP3;LGALS3;LGMN;LIPA;LMO2;LPCAT1;Macrophages;Macrophages CCL3+ CCL4+;MAFB;MAFF;MAP3K5;MARCKS;MAX;MSR1;MVB12B;MYD88;MYOF;NAMPT;NAPA;NCF1;NFIL3;NMI;OGFR;P2RY6;PARP12;PARP9;PFKFB3;PIM3;PLIN2;PLSCR1;PMAIP1;PNRC1;RASSF4;RGS1;RNF114;RNF19B;RNF213;SAMHD1;SCARB2;SCO2;SECTM1;SERPINB9;SERPING1;SIRPA;SLC15A3;SNN;SPATS2L;STAT1;TCF7L2;TFEC;THBD;TIMP1;TMEM51;TNFAIP3;TNFSF13B;TRIM14;TRIM38;TYMP;UNC93B1;WARS;XAF1
