cluster_ID,genes
1,RGS1;MCL1;TNFAIP3;SLFN5;RNF213;GBP2;T cells CD4+ FOSB+;HLA-F;GBP5;OPTN;T cells OGT+;RBM25;SOCS1;DDIT4;TAP1
2,IFITM2;ISG15;CCL5;CLEC2B;RARRES3;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);LY6E;ARHGEF3;SUN2;GZMB
3,PSMB8;PSMB9;TXNIP;CD9;MT1X;HLA-E;HLA-C;HLA-A;HLA-B;CCND3;CCDC109B;ANXA2R;FAM134B;IRF2;RBCK1;PHF11;T cells CD8+;T cells CD8+ KLRG1+
4,CD38;ISG20;ODC1;B cells;AIM2;PXK;HSH2D;STAP1;ALYREF;Immune Cycling cells;B cells AICDA+ LRMP+;MX1
5,CD74;NCF1;GCA;EIF3L;LMO2;MARCKS
6,JUNB;CD69;PLIN2;CCL4;VMP1;DDX3X;PNRC1;ATF3;CSRNP1
7,TNFSF10;CPT1A;MT1F;FAM46A;IFIT5;BCL3;PML;TREX1;C15orf48;Macrophages Metallothionein;ACSL1;CD274;IFIT1;PNPT1;SAMD4A;Mast cells
8,HES4;GBP3;IRF9;IFI6;NK cells KLRF1+ CD3G-;XAF1;RTP4;ATP10D;NFIL3;B4GALT5;OGFR;APOL2;PARP9;IFI44;IFIT3;MVB12B;TRIM21;ILCs;HEG1;IFI44L;T cells CD4+ IL17A+;B2M;DDX58;OAS2;APOL1;MAFF
9,ZBP1;C4orf33;GALNT2;MCOLN2;SCO2;MTHFD2L;EXT1;MICB;C9orf91;USP18;OASL;SLC25A28;OAS3;HERC6;IFI27;CD80;Monocytes S100A8+ S100A9+;Neutrophils S100A8+ S100A9+;HELZ2;SPSB1;AKT3;TMEM140;ERLIN1;STARD5;TNFRSF10A;TDRD7;NOD2;IFNLR1;ARG2;HLA-G;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;THBD;TBX3;TAP2;STEAP4;ST3GAL4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MYOF;MT1M;MT1H;MSR1;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IGFBP2;HESX1;GPX2;GJA4;G6PC;FZD5;FTSJD2;FNDC4;FFAR2;FCGR1A;ETV7;ENPP1;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CCNA1;CCL8;C5orf27;C22orf28;C1S;C10orf10;BCL2L14;BATF2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ADM;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;NDC80;BUB1
10,ELF1;Plasma cells;IFIT2;RPL22;PTMA;SP110;KIAA0040
11,FKBP5;CYTH1;IL6ST;ADAR;GEM;CDKN1A;NAMPT;FNDC3B;RNF114;MAP3K5;ANKFY1;PARP12;RNF19B;TRIM25;NAPA;SERPINB9;C4orf32;EHD4;SLC16A1;MAX;GK;PUS1;PFKFB3;JAK2;FUT4;ETV6
12,DUSP5;PDK1;Tregs;IRF7;CCDC92;DTX3L;ARNTL;IL1R1;CRY1;PMM2;IL15RA;ULK4;SPTLC2;BTN3A3;SMAD3;CDK17;DCP1A;WHAMM;TLK2;TRIM5;PRKD2;DDX60;GCH1;GAK;MASTL;PI4K2B
13,IFI16;PMAIP1;TAGAP;TRIM38;NCOA3;PPM1K;T cells Naive CD4+;PIM3;LPCAT1;IFI30
14,LGALS3;SAMHD1;STAT1;GBP1;VAMP5;GBP4;IFNGR1;TNFSF13B;CEBPD;UBE2L6;BST2;TRIM14;EPSTI1
15,TIMP1;GLRX;LAP3;WARS;RASSF4;TYMP;BLVRA;IFITM3;SPATS2L;PLSCR1;DC2 CD1D-;DC2 CD1D+;IMPA2;ADAMDEC1;CXCL9;LIPA;P2RY6;Macrophages;SIRPA;CXCL10;SERPING1;SLC15A3;TFEC;SNN
16,UNC93B1;LGMN;SCARB2;ALDH1A1;BAG1;CCR1;MYD88;Macrophages CCL3+ CCL4+;MAFB;CD163;SECTM1;CCL2;SLC25A30;GBA;MT1G;TMEM51;Macrophages LYVE1+;TCF7L2
17,COMMD3;IFI35;CHMP5;NMI;CASP7;TRAFD1;MB21D1;IL15;Macrophages PLA2G2D+;Macrophages CXCL9+ CXCL10+;SOCS2;Mature DCs;DC1;IL1RN;LAMP3;IDO1;CCL19
