cell_name$genes
B cells$
B cells AICDA+ LRMP+$
DC1$
DC2 CD1D-$
DC2 CD1D+$
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+)$
ILCs$
Immune Cycling cells$
Macrophages$
Macrophages CCL3+ CCL4+$
Macrophages CXCL9+ CXCL10+$
Macrophages LYVE1+$
Macrophages Metallothionein$
Macrophages PLA2G2D+$
Mast cells$
Mature DCs$
Monocytes CHI3L1+ CYP27A1+$
Monocytes S100A8+ S100A9+$
Neutrophils S100A8+ S100A9+$Kaposi sarcoma-associated herpesvirus infection@Viral protein interaction with cytokine and cytokine receptor@Cytokine-cytokine receptor interaction
NK cells KLRF1+ CD3G-$
Plasma cells$Nicotinate and nicotinamide metabolism
T cells CD4+ FOSB+$Kaposi sarcoma-associated herpesvirus infection
T cells CD4+ IL17A+$
T cells CD8+$Human cytomegalovirus infection@Influenza A@Human papillomavirus infection
T cells CD8+ KLRG1+$
T cells Naive CD4+$
T cells OGT+$Kaposi sarcoma-associated herpesvirus infection
Tregs$
