cluster_ID,genes
1,CD74;CEBPD;HLA-B;IFITM3;MARCKS;PNRC1
2,HLA-A;PTMA
3,CD38;COMMD3;DDIT4;FNDC3B;IFI6;ISG15;ISG20;PDK1;Plasma cells
4,B cells;C10orf10;CCDC109B;CCL2;CD9;IL6ST;MT1M
5,ADAMDEC1;C4orf33;C9orf91;CD80;CYTH1;DC1;GK;IL15;LMO2;Macrophages CXCL9+ CXCL10+;MAFF;PSMB8;RASSF4;RNF19B;RNF213;SERPING1;SIRPA;SNN
6,ARHGEF3;B4GALT5;C1S;C4orf32;CDK17;DCP1A;ETV6;GALNT2;GBP5;GCH1;HLA-F;IFI35;NAPA;OAS2;PI4K2B;PPM1K;PXK;RBCK1;SLC16A1;T cells CD4+ FOSB+;T cells Naive CD4+;T cells OGT+;TLK2;Tregs;TRIM14;TRIM38
7,CLEC4E;DC2 CD1D-;DC2 CD1D+;FCGR1A;GCA;HES4;IFNGR1;Monocytes S100A8+ S100A9+;PLSCR1;SAMHD1;SERPINB9;THBD;TIMP1
8,ACSL1;BLVRA;CCL8;CHMP5;CLEC2B;CXCL10;DDX3X;LIPA;MSR1;NFIL3;TFEC;VAMP5
9,ABLIM3;ABTB2;AHNAK2;AIM2;AKT3;AMPH;ANGPTL1;ANKFY1;ANKRD22;ANXA2R;APOBEC3A;APOL1;APOL2;AQP9;ARG2;ARNTL;B cells AICDA+ LRMP+;BATF2;BCL2L14;BCL3;BTN3A3;BUB1;C22orf28;C5orf27;CASP7;CCDC92;CCNA1;CD274;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CRY1;CTCFL;CX3CL1;CXCL11;CYP1B1;DDX58;DDX60;EHD4;ENPP1;ERLIN1;ETV7;EXT1;FAM134B;FFAR2;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GBA;GBP3;GJA4;GLRX;GPX2;GZMB;HEG1;HELZ2;HERC6;HESX1;HLA-G;HSH2D;IFIT1;IFIT2;IFIT3;IFIT5;IFNLR1;IGFBP2;IL15RA;IL17RB;IL1R1;IL1RN;IMPA2;IRF7;IRF9;KIAA0040;LEPR;LRG1;LY6E;MAB21L2;MAP3K14;Mast cells;MASTL;MB21D1;MCOLN2;MICB;MKX;Monocytes CHI3L1+ CYP27A1+;MVB12B;MX1;NCOA3;NDC80;NEURL3;NK cells KLRF1+ CD3G-;NOD2;NPAS2;NRN1;NT5C3;OAS3;OASL;P2RY6;PADI2;PARP12;PARP9;PDGFRL;PHF15;PMM2;PNPT1;PRKD2;PUS1;RNASE4;RNF114;RTP4;SAA1;SAMD4A;SERPINE1;SLC15A3;SLC1A1;SLC25A28;SLC25A30;SMAD3;SOCS1;SPSB1;ST3GAL4;STAP1;STARD5;STEAP4;T cells CD4+ IL17A+;T cells CD8+;T cells CD8+ KLRG1+;TAGAP;TAP2;TBX3;TDRD7;TLR3;TMEM140;TMEM255A;TMEM51;TNFAIP6;TNFRSF10A;TRAFD1;TREX1;TRIM21;TRIM34;ULK4;UPP2;USP18;VEGFC;WHAMM;ZBP1;ZNF385B
10,ADAR;ADM;ATP10D;B2M;BAG1;BST2;CCR1;CSRNP1;DTX3L;FAM46A;GAK;GBP2;GEM;IFI44;IFI44L;ILCs;JAK2;LGALS3;LPCAT1;Macrophages PLA2G2D+;MAP3K5;MAX;MT1H;MTHFD2L;MYOF;NCF1;Neutrophils S100A8+ S100A9+;OPTN;PHF11;PML;S100A8;SCARB2;SCO2;SECTM1;SLFN5;SOCS2;SP110;SPTLC2;TCF7L2;TNFSF10;UNC93B1;XAF1
11,ALDH1A1;ALYREF;CCL5;CCND3;CPT1A;EIF3L;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IFI16;Immune Cycling cells;IRF2;MT1F;MT1G;MYD88;NMI;ODC1;OGFR;PSMB9;RARRES3;RBM25;SUN2;TAP1;TRIM25;TRIM5
12,IFI27;IFITM2;Macrophages Metallothionein;MT1X
13,ATF3;CD163;HLA-E;Macrophages;MAFB;MCL1;NAMPT;PLIN2
14,CCL4;JUNB;LGMN;Macrophages CCL3+ CCL4+;Macrophages LYVE1+
15,FKBP5;TNFAIP3;VMP1
16,CD69;ELF1;RPL22;TXNIP
17,CCL19;CDKN1A;CXCL9;EPSTI1;HLA-C;IDO1;LAMP3;Mature DCs;PIM3;PMAIP1;UBE2L6
18,C15orf48;GBP1;GBP4;IFI30;LAP3;PFKFB3;SPATS2L;STAT1;TNFSF13B;TYMP;WARS
19,DUSP5;RGS1
