cluster_ID,genes
1,C1S;ADAMDEC1;MAB21L2;ANGPTL1;EIF3L;RARRES3;Activated fibroblasts CCL19+ ADAMADEC1+;Fibroblasts ADAMDEC1+;CCL2;IL6ST;CCL19;CCL8
2,CD9;TBX3;SERPING1;FNDC3B;MT1X;SCARB2;ATF3;SPATS2L
3,JUNB;BST2;CEBPD;TIMP1;IL1R1;TYMP;MCL1;MAFB;FAM46A;PDGFRL;WARS;Fibroblasts NPY+ SLITRK6+;ODC1;OPTN;STAT1;Fibroblasts SMOC2+ PTGIS+;JAK2;RBCK1;APOL1;PMAIP1;GBP5;IFI35;Inflammatory fibroblasts IL11+ CHI3L1+;ADM
4,Myofibroblasts HHIP+ NPNT+;Myofibroblasts GREM1+ GREM2+;CES1;AHNAK2;Fibroblasts KCNN3+ LY6H+;TNFSF13B;TLK2;IMPA2;SPSB1;TRAFD1;FKBP5;FUT4;ACSL1;ABTB2;Pericytes RERGL+ NTRK2+;ULK4;AMPH;C4orf33;GBA;MB21D1;MVB12B;COMMD3;UNC93B1;ENPP1;PHF11;CSRNP1;FFAR2;TLR3;SCO2;TRIM21;IFI30;C9orf91;PTMA;OAS2;EXT1;PMM2;TNFRSF10A;P2RY6;SERPINE1;IDO1;ETV7;Fibroblasts SFRP2+ SLPI+;RTP4;SLC1A1;APOL2;FNDC4;SECTM1;RNASE4;MASTL;NDC80;BATF2;MT1F;ARG2;TMEM255A;MICB;CD163;Stromal Cycling cells;CCL5;SLC25A30;CD38;TRIM14;GCH1;CXCL10;GK;CFB;B2M;STARD5;ZNF385B;ZBP1;UPP2;TRIM34;TFEC;TAP2;STAP1;SAA1;S100A8;PHF15;PADI2;OASL;NT5C3;NOD2;NEURL3;NCF1;MT1H;MT1G;MSR1;MKX;MCOLN2;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;HSH2D;HLA-G;HESX1;GZMB;GPX2;G6PC;FTSJD2;FCGR1A;CXCL9;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD274;CCR1;CCNA1;C5orf27;C22orf28;C15orf48;BUB1;BCL2L14;AQP9;APOBEC3A;AIM2;ANKRD22;CDKN1A;KIAA0040;PLIN2;IRF9;EPSTI1;CD69;NAMPT;TNFAIP3;SOCS1;BCL3;TMEM51
5,TXNIP;VEGFC;DTX3L;CCL4;RGS1;PARP9;ATP10D;IFIT1;IFITM3;IL15RA;ISG20;RPL22;NFIL3;MAFF;UBE2L6;SIRPA;GBP3;B4GALT5;BAG1;SP110;ABLIM3;LRG1;NPAS2;CRY1;PDK1;RNF19B;HLA-A;IRF7;FZD5;DDX58;USP18;OAS3;CYP1B1;HELZ2;PFKFB3;PUS1;TAGAP;MYD88;BTN3A3
6,HES4;GBP2;NAPA;SAMHD1;GEM;PNRC1;BLVRA;GBP1;ALDH1A1;RNF213;ANKFY1;LGALS3;RBM25;OGFR;GCA;VMP1;TNFAIP6;PXK;GALNT2;ST3GAL4;SERPINB9;SLC15A3;Glial cells;RASSF4;FAM134B;MT1M;IFIT5;SAMD4A;CCDC92;DCP1A;PPM1K;HLA-B;HLA-C;PI4K2B;TCF7L2;SMAD3;MAP3K5;CASP7
7,DDIT4;LAP3;CHMP5;STEAP4;NMI;Pericytes HIGD1B+ STEAP4+;IFIT2;DDX3X;MX1;GJA4;DDX60;IL15;SLC25A28;NCOA3;RNF114;SNN;IRF2;TDRD7;HERC6;ARNTL;TRIM5;ALYREF;MYOF;GLRX
8,Endothelial cells CD36+;IGFBP2;CCDC109B;LEPR;MAX;Endothelial cells LTC4S+ SEMA3G+;IFI44;LIPA;CYTH1;THBD;ANXA2R;PIM3;XAF1;ELF1;SOCS2;EHD4;HEG1;LMO2;SLFN5;C4orf32;IFI6;IFI44L;DUSP5;GAK;PML;LGMN;LPCAT1;ARHGEF3;SPTLC2;CX3CL1;TRIM38;PNPT1;ETV6;SLC16A1;PARP12;WHAMM;TRIM25;MTHFD2L;Endothelial cells DARC+;PRKD2;CDK17;CPT1A;IFNGR1;ERLIN1;TREX1
9,AKT3;ADAR;SUN2;HLA-E;CCND3;NRN1;C10orf10;TMEM140;IFIT3;IFI27;HLA-F;VAMP5;PSMB8;TAP1;GBP4;PSMB9;ISG15
10,CD74;MARCKS;IFI16;IFITM2;TNFSF10;CLEC2B;LY6E;PLSCR1
