cluster_ID,genes
1,IFITM2;PSMB8;PSMB9;RARRES3
2,CD69;DDIT4;ELF1;RGS1;SLFN5;SOCS1;VMP1
3,ANXA2R;ARHGEF3;CCL5;CCND3;CLEC2B;GZMB;SUN2;T cells CD8+ KLRG1+;TAGAP
4,ADAR;GBP2;HLA-C;HLA-E;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF9;ISG20;PMAIP1;RBCK1;RBM25;T cells OGT+;UBE2L6;XAF1
5,ARNTL;ETV7;IL1R1;MT1X;OPTN;PHF11;RNF213;T cells CD4+ FOSB+;T cells CD4+ IL17A+;Tregs;TRIM14
6,GBP5;HLA-A;HLA-B;IFI16;ISG15;LY6E
7,CSRNP1;HES4;PFKFB3;PIM3
8,CCL19;CD274;CYTH1;EPSTI1;LAMP3;Mature DCs;RASSF4;SLC15A3;SNN
9,IL6ST;IMPA2;JAK2;MYD88;MYOF;NAPA;NMI;OGFR;P2RY6;SCO2;SECTM1;THBD;UNC93B1
10,ANKRD22;CCR1;CD163;DC2 CD1D-;DC2 CD1D+;GCH1;IL1RN;LMO2;MCL1;Monocytes S100A8+ S100A9+;RNF19B;S100A8;TCF7L2;TMEM51
11,AIM2;BCL2L14;CCDC92;DC1;EIF3L;ENPP1;GEM;HSH2D;IL15;MCOLN2
12,BCL3;CASP7;FKBP5;MAFF;TAP1
13,GBP4;SP110;TRIM38;TXNIP
14,ALYREF;BUB1;C4orf33;CCDC109B;GPX2;Immune Cycling cells;Macrophages Metallothionein;MICB;NDC80;OAS3;PI4K2B
15,CD80;CPT1A;CYP1B1;IRF2;MT1G;PTMA;RNF114;RPL22
16,CDK17;CREB3L3;CRY1;DCP1A;FAM134B;HEG1;HELZ2;HERC6;IFI35;IFI44;MAP3K5;MT1F;NK cells KLRF1+ CD3G-;OAS2;OASL;PRKD2;PUS1;RTP4;SLC16A1;SMAD3;SOCS2;SPSB1;TLK2;TMEM140;TRIM21;WHAMM
17,B cells;B cells AICDA+ LRMP+;BAG1;DDX58;EHD4;IFI44L;LPCAT1;MVB12B;MX1;NCOA3;PPM1K;PXK;SLC25A28;SPTLC2;STAP1;T cells Naive CD4+;TREX1
18,ABLIM3;ABTB2;AHNAK2;AKT3;AMPH;ANGPTL1;AQP9;ARG2;B2M;BATF2;C10orf10;C22orf28;C5orf27;CCL8;CCNA1;CES1;CFB;CMAHP;CRP;CTCFL;CX3CL1;EXT1;FNDC4;FTSJD2;FZD5;G6PC;GALNT2;GJA4;HESX1;HLA-G;IFIT1;IFNLR1;IGFBP2;IL17RB;LEPR;MAB21L2;Macrophages LYVE1+;MAP3K14;MKX;MT1H;MT1M;MTHFD2L;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;PMM2;RNASE4;SAA1;SERPINE1;SLC1A1;SLC25A30;STARD5;STEAP4;T cells CD8+;TAP2;TBX3;TDRD7;TLR3;TMEM255A;TNFRSF10A;TRIM34;TRIM5;ULK4;UPP2;USP18;VEGFC;ZNF385B
19,APOL1;ATP10D;BTN3A3;CLEC4D;DDX60;ERLIN1;GBP3;IL15RA;IRF7;KIAA0040;MASTL;MAX;PML;PNPT1;ST3GAL4
20,ACSL1;ANKFY1;APOBEC3A;C4orf32;C9orf91;CXCL11;DTX3L;FFAR2;FUT4;GAK;GBA;IFIT2;IFIT5;ILCs;LRG1;MB21D1;MSR1;Neutrophils S100A8+ S100A9+;NFIL3;PARP12;PARP9;SAMD4A;TNFAIP6;TRAFD1;TRIM25
21,CD38;COMMD3;DUSP5;FNDC3B;ODC1;PDK1;Plasma cells;ZBP1
22,CCL4;CEBPD;IFNGR1;PNRC1
23,ATF3;C15orf48;CD74;CXCL9;IFI30;LAP3;MARCKS;NAMPT;TNFSF13B;TYMP;WARS
24,CXCL10;FCGR1A;GBP1;GLRX;LIPA;Macrophages;Macrophages CXCL9+ CXCL10+;MAFB;NCF1;SCARB2;SERPING1;SIRPA;STAT1;TFEC;VAMP5
25,CDKN1A;ETV6;GCA;GK;IDO1;PLSCR1;SAMHD1;SERPINB9;SPATS2L
26,ADAMDEC1;APOL2;CCL2;CHMP5;IFI27;IFI6
27,ADM;C1S;CLEC4E;LGMN;Macrophages CCL3+ CCL4+;Macrophages PLA2G2D+;Monocytes CHI3L1+ CYP27A1+;PADI2
28,BLVRA;DDX3X;FAM46A;IFIT3;JUNB;TNFAIP3;TNFSF10
29,ALDH1A1;B4GALT5;CD9;Mast cells
30,IFITM3;LGALS3;PLIN2;TIMP1
31,BST2
