cluster_ID,genes
1,ANXA2R;ARHGEF3;CCND3;CDK17;DCP1A;HEG1;NK cells KLRF1+ CD3G-;SUN2;T cells CD8+ KLRG1+;TAGAP
2,ADAR;GBP2;HLA-C;HLA-E;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IRF9;ISG20;RBCK1;RBM25;RNF213;T cells CD4+ FOSB+;T cells OGT+;XAF1
3,CCL5;CLEC2B;GZMB;RARRES3
4,GBP5;HLA-A;HLA-B;IFI16;ISG15;LY6E
5,BST2;IFI35;NMI;PSMB8;UBE2L6
6,CD69;DDIT4;ELF1;IFITM2;PSMB9;SLFN5;SOCS1
7,MT1X;RGS1;TNFAIP3;VMP1
8,CD38;COMMD3;FNDC3B;ODC1;PDK1;Plasma cells;STARD5;ZBP1
9,CYP1B1;IFIT2;IRF2;MASTL;PARP12;PARP9;PTMA;RNF114;TRIM25
10,APOL1;ATP10D;BTN3A3;C4orf32;CLEC4D;DDX60;ERLIN1;GBP3;IL15RA;MAX;MB21D1;MSR1;PML;SAMD4A;ST3GAL4
11,ABLIM3;ABTB2;AHNAK2;AKT3;AMPH;ANGPTL1;ANKFY1;APOBEC3A;AQP9;ARG2;B cells;B cells AICDA+ LRMP+;B2M;BATF2;C10orf10;C22orf28;C5orf27;CCL8;CCNA1;CES1;CFB;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;EXT1;FFAR2;FNDC4;FTSJD2;FUT4;FZD5;G6PC;GALNT2;GBA;GJA4;HESX1;HLA-G;IFI44L;IFIT1;IFIT5;IFNLR1;IGFBP2;IL17RB;LEPR;LRG1;MAB21L2;Macrophages LYVE1+;MAP3K14;MKX;MT1H;MT1M;MTHFD2L;NEURL3;NOD2;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;PMM2;PXK;RNASE4;SAA1;SERPINE1;SLC1A1;SLC25A28;SLC25A30;SPTLC2;STAP1;STEAP4;T cells CD8+;TAP2;TBX3;TDRD7;TLR3;TMEM255A;TNFRSF10A;TREX1;TRIM34;TRIM5;ULK4;UPP2;USP18;VEGFC;ZNF385B
12,ALYREF;BUB1;C4orf33;CCDC109B;CPT1A;GPX2;Immune Cycling cells;Macrophages Metallothionein;MICB;NDC80;OAS3;PI4K2B;RPL22
13,ARNTL;CRY1;DDX58;ETV7;FAM134B;HELZ2;HERC6;IFI44;IL1R1;KIAA0040;MAP3K5;MT1F;OAS2;OASL;OPTN;PHF11;PRKD2;PUS1;RTP4;SLC16A1;SMAD3;SPSB1;T cells CD4+ IL17A+;TLK2;TMEM140;Tregs;TRIM14;TRIM21;WHAMM
14,ACSL1;BCL2L14;C9orf91;CASP7;CCL19;CD274;CD80;CXCL11;CYTH1;EPSTI1;FKBP5;IL15;IRF7;LAMP3;Mature DCs;MCOLN2;SNN;SOCS2;TNFAIP6;TRAFD1
15,AIM2;BAG1;BCL3;CCDC92;EHD4;ENPP1;GEM;HSH2D;IMPA2;LPCAT1;MVB12B;MX1;OGFR;T cells Naive CD4+
16,B4GALT5;BLVRA;CD9;DDX3X;FAM46A;IFIT3;JUNB;Mast cells;TNFSF10
17,ADM;APOL2;C1S;CCL2;CHMP5;IFI27;IFI6;Macrophages PLA2G2D+;Monocytes CHI3L1+ CYP27A1+;MT1G;PNPT1
18,CSRNP1;MAFF;PIM3;TAP1
19,NCOA3;PMAIP1;PPM1K;SP110;TRIM38;TXNIP
20,DUSP5;EIF3L
21,GBP1;Macrophages CXCL9+ CXCL10+;MARCKS;RASSF4;SIRPA;SLC15A3;TNFSF13B;WARS
22,ADAMDEC1;CLEC4E;CXCL10;FCGR1A;GLRX;LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB;NCF1;PADI2;SCARB2;SERPING1;STAT1;TFEC;VAMP5
23,CDKN1A;DC1;ETV6;GCA;GK;MYD88;SAMHD1;SPATS2L
24,ATF3;C15orf48;CD74;CXCL9;IDO1;IFI30;IFNGR1;LAP3;NAMPT;PLSCR1;TYMP
25,ALDH1A1;IFITM3;LGALS3;PLIN2;TIMP1
26,CEBPD;MCL1;PFKFB3;SERPINB9
27,DTX3L;GAK;HES4;IL6ST;ILCs;JAK2;NAPA;Neutrophils S100A8+ S100A9+;NFIL3;P2RY6;SCO2;SECTM1;TCF7L2;THBD;UNC93B1
28,ANKRD22;CCR1;CD163;DC2 CD1D-;DC2 CD1D+;GBP4;GCH1;IL1RN;LMO2;Monocytes S100A8+ S100A9+;MYOF;RNF19B;S100A8;TMEM51
29,CCL4;PNRC1
