cluster_ID,genes
1,PNRC1;CCL4;HLA-A;HLA-B
2,RARRES3;CLEC2B;CCL5;GZMB;CCND3;SUN2;ARHGEF3;ANXA2R;T cells CD8+ KLRG1+
3,RNF213;HLA-C;TAP1;UBE2L6;PMAIP1;ISG20;SP110;GBP2;HLA-E;IRF9;RBCK1;HLA-F;T cells CD4+ FOSB+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells OGT+;ADAR;XAF1;RBM25
4,MT1X;T cells CD4+ IL17A+;ARNTL;MAP3K5;PHF11;ETV7;Tregs;IL1R1;TRIM14;Immune Cycling cells;NDC80;OPTN;PRKD2;KIAA0040;SPSB1;TMEM140;CCDC109B
5,IFI16;PSMB8;LY6E;GBP5;ISG15
6,TNFAIP3;RGS1;VMP1
7,CD69;PSMB9;IFITM2;DDIT4;SOCS1;ELF1;SLFN5
8,IFITM3;TIMP1;PLIN2;ALDH1A1;LGALS3
9,IFNGR1;GLRX;LIPA;CXCL10;Macrophages;TYMP;IFI30;CXCL9;WARS;ATF3;NAMPT;MARCKS;TNFSF13B;STAT1;GBP1;Macrophages CXCL9+ CXCL10+
10,VAMP5;GCH1;ANKRD22;CD163;NCF1;SERPING1;SCARB2;CLEC4E;TFEC;MAFB;FCGR1A;Macrophages CCL3+ CCL4+;LGMN;P2RY6;SIRPA;SLC15A3;RASSF4
11,CD74;LAP3;C15orf48;IDO1;PLSCR1;GCA;SPATS2L;SAMHD1
12,GBP4;EPSTI1;NMI;PIM3;HES4;SNN;CD274;RNF19B;LAMP3;Mature DCs;CD80;CYTH1;CCL19;CCR1;DC2 CD1D-;DC2 CD1D+;TMEM51;LMO2;TCF7L2;NFIL3;NAPA;IL6ST;UNC93B1;SCO2;SECTM1;FKBP5;ILCs;C4orf32;ACSL1;JAK2;Neutrophils S100A8+ S100A9+;PARP9;TRAFD1
13,CEBPD;PFKFB3;CDKN1A;ETV6;GK;MYD88;MYOF;THBD;MCL1;SERPINB9;Monocytes S100A8+ S100A9+;S100A8;IL1RN
14,BST2;TNFSF10;BLVRA;DDX3X;JUNB;FAM46A;Mast cells;IFIT3;B4GALT5;CD9
15,ADAMDEC1;CCL2;IFI6;CHMP5;IFI27;APOL2;PADI2;C1S;Macrophages PLA2G2D+;Monocytes CHI3L1+ CYP27A1+;PNPT1;ADM;MT1G
16,BCL3;CASP7;EIF3L;MCOLN2;BCL2L14;DC1;IMPA2;GEM;ENPP1;AIM2;HSH2D;IL15;CCDC92
17,CPT1A;RPL22;PTMA;PARP12;TRIM25;IFIT2;CYP1B1;NCOA3;IRF7;STAP1;B cells;PXK;TREX1;IFI44L;OGFR;MB21D1;GAK;SAMD4A;ST3GAL4;PML;DDX60;GBP3;BTN3A3;APOL1;IL15RA;CLEC4D;MVB12B;EHD4;MASTL;Macrophages Metallothionein;MICB;C4orf33;OAS3;ALYREF;TRIM21;PI4K2B;PMM2;BUB1;ERLIN1;TNFAIP6;MSR1;IFIT5;C9orf91;CXCL11;GBA;RTP4;TLK2;WHAMM;CRY1;ATP10D;MTHFD2L;TRIM5;IFI44;SPTLC2;LRG1;SLC25A28;FFAR2;MT1F;FAM134B;GPX2;SLC16A1;HERC6;SMAD3;HELZ2;ANKFY1;PUS1;CREB3L3
18,STARD5;GALNT2;ULK4;ABTB2;FZD5;USP18;SAA1;SLC25A30;FUT4;HLA-G;OASL;B cells AICDA+ LRMP+;IFIT1;BATF2;NOD2;MT1M;AKT3;TNFRSF10A;B2M;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;SLC1A1;SERPINE1;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MT1H;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;IFNLR1;HESX1;GJA4;G6PC;FTSJD2;FNDC4;CX3CL1;CTCFL;CRP;CMAHP;CFB;CES1;CCNA1;C5orf27;C22orf28;ARG2;AQP9;ANGPTL1;AMPH;ABLIM3;AHNAK2;CCL8;C10orf10;IGFBP2;Macrophages LYVE1+;STEAP4;TDRD7;EXT1;APOBEC3A;T cells CD8+
19,TRIM38;TXNIP;IRF2;RNF114;IFI35;PPM1K;T cells Naive CD4+;DTX3L;TAGAP;BAG1;LPCAT1;MX1;SOCS2;DCP1A;DDX58;OAS2;CDK17;HEG1;NK cells KLRF1+ CD3G-;MAFF;CSRNP1;MAX
20,CD38;Plasma cells;COMMD3;ODC1;FNDC3B;PDK1;ZBP1;DUSP5
