cluster_ID,genes
1,FKBP5;GEM;HES4;IL6ST;Tregs;TRIM14;VMP1
2,DDX60;HELZ2;HERC6;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);MT1X;PHF11;PSMB9;RGS1;RNF213;SLFN5;T cells OGT+
3,CCDC109B;CCND3;CD69;CLEC2B;CSRNP1;DDIT4;FAM134B;JUNB;OPTN;PNRC1;RARRES3;SOCS1;SUN2;T cells CD4+ FOSB+;TNFAIP3
4,BAG1;CDKN1A;EHD4;ODC1;PMM2;SLC16A1
5,CD38;CD9;COMMD3;DUSP5;GALNT2;HSH2D;ISG20;MCL1;PDK1;PI4K2B;Plasma cells;PRKD2;ZBP1
6,ANXA2R;CCL4;CCL5;DDX58;GZMB;HEG1;MT1F;NK cells KLRF1+ CD3G-;OASL;T cells CD8+;T cells CD8+ KLRG1+
7,CD80;CDK17;MB21D1;MCOLN2;MICB;PNPT1;PUS1;RBM25;TLK2
8,ABLIM3;ABTB2;ADM;AHNAK2;ALYREF;AMPH;ANGPTL1;APOBEC3A;AQP9;ARG2;B2M;BATF2;BUB1;C10orf10;C1S;C22orf28;C5orf27;CCL19;CCL2;CCL8;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;ELF1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-A;HLA-B;HLA-C;HLA-E;HLA-G;IFNLR1;IGFBP2;IL15;IL17RB;IL1RN;Immune Cycling cells;LRG1;MAB21L2;Macrophages LYVE1+;Macrophages Metallothionein;MAP3K14;Mast cells;MKX;Monocytes CHI3L1+ CYP27A1+;Monocytes S100A8+ S100A9+;MT1G;MT1H;MT1M;MYOF;NDC80;NEURL3;Neutrophils S100A8+ S100A9+;NPAS2;NRN1;NT5C3;PADI2;PDGFRL;PHF15;PTMA;RNASE4;RPL22;S100A8;SAA1;SERPINE1;SLC1A1;ST3GAL4;STARD5;STEAP4;TAP2;TBX3;TCF7L2;TDRD7;THBD;TLR3;TMEM140;TNFAIP6;TRIM34;ULK4;UPP2;VEGFC;ZNF385B
9,ARHGEF3;CCDC92;ETV7;GAK;IRF2;MAP3K5;NOD2;OGFR;PSMB8;RBCK1;RTP4;SCO2;SLC25A30;TRIM5
10,ACSL1;APOL1;BCL2L14;BTN3A3;C9orf91;CPT1A;DC1;DC2 CD1D-;DC2 CD1D+;EXT1;FUT4;IFIT5;IL15RA;Mature DCs;MTHFD2L;SLC25A28;WHAMM
11,B cells;B cells AICDA+ LRMP+;IRF9;KIAA0040;PXK;SMAD3;SNN;SP110;STAP1;T cells Naive CD4+;TAGAP;TRIM38;TXNIP
12,AIM2;ETV6;IFI30;NCOA3;PMAIP1;PPM1K;TNFRSF10A
13,IFI16;IFI44L;IFITM2;LPCAT1;PIM3;TAP1
14,ADAR;ANKFY1;B4GALT5;DTX3L;ERLIN1;Macrophages PLA2G2D+;MAX;MVB12B;NAPA;NFIL3;PARP12;RNF114;SAMD4A;SCARB2;SOCS2;TMEM255A;TMEM51
15,C15orf48;C4orf32;C4orf33;FAM46A;GCH1;ILCs;IMPA2;PFKFB3;RNF19B;SERPINB9;TRAFD1;USP18
16,AKT3;ARNTL;BCL3;CD274;CRY1;CYTH1;DCP1A;DDX3X;ENPP1;GBA;IL1R1;LEPR;MAFF;MASTL;SPSB1;SPTLC2;T cells CD4+ IL17A+;TRIM21
17,CHMP5;GBP1;GBP2;GBP4;GBP5;IFI44;ISG15;NMI;PARP9;PLIN2;PLSCR1;SAMHD1;SPATS2L;STAT1;TNFSF10;TNFSF13B;VAMP5
18,EPSTI1;GBP3;IFI6;LY6E;MX1;TRIM25;XAF1
19,ATF3;BLVRA;BST2;FNDC3B;IFI35;IRF7;LGALS3;TIMP1
20,ADAMDEC1;ALDH1A1;ANKRD22;CCR1;CD163;CLEC4E;CXCL10;CXCL9;FCGR1A;GK;IDO1;IFITM3;JAK2;LAMP3;LIPA;Macrophages;Macrophages CCL3+ CCL4+;Macrophages CXCL9+ CXCL10+;MAFB;MSR1;P2RY6;RASSF4;SECTM1;SERPING1
21,APOL2;CASP7;CEBPD;IFI27;IFIT1;IFIT3;MYD88;OAS2;OAS3;PML;TREX1;UBE2L6
22,GLRX;LAP3;LGMN;MARCKS;NAMPT;SIRPA;SLC15A3;TFEC;TYMP;WARS
23,ATP10D;CD74;EIF3L;GCA;IFIT2;IFNGR1;LMO2;NCF1;UNC93B1
