cluster_ID,genes
1,GBP2;GBP5;GBP4;GBP1;STAT1;TNFSF13B;IFNGR1;EPSTI1;XAF1;PARP9;MX1;DTX3L;MYD88;PML;NMI;ADAR;ARHGEF3;MAX;PUS1;OAS3
2,PLSCR1;BST2;LGALS3;TIMP1;BLVRA;DDX3X;CCL4;SPATS2L;CSRNP1;PLIN2;VAMP5;HES4;IFITM3;TNFSF10;C4orf32;PFKFB3;ATF3;RNF19B;MAFF;CEBPD;BCL3;APOL2;MB21D1;CD274;SOCS2;C15orf48
3,LAP3;SCO2;CD80;WARS;FNDC3B;SCARB2;LMO2;GCH1;B4GALT5;SIRPA;GBA;Macrophages CCL3+ CCL4+;CCR1;IMPA2;CASP7;FFAR2;NAPA;LIPA;Macrophages CXCL9+ CXCL10+;DC2 CD1D-;DC2 CD1D+;JAK2;LRG1;STEAP4;CXCL10;SECTM1;MAFB;RASSF4;CCL2;CD163;Macrophages;TCF7L2;IDO1;CXCL9;MYOF;CXCL11;THBD;IL1RN;FCGR1A;DC1;ADAMDEC1;CCL8;LAMP3;P2RY6;SERPING1;IL15;Macrophages LYVE1+;CCL19;OASL
4,TNFRSF10A;Mature DCs;SLC25A28;DCP1A;ACSL1;CPT1A;TREX1;GPX2;Monocytes CHI3L1+ CYP27A1+;MT1H;HELZ2;ANKFY1;CES1;GALNT2;NOD2;TRIM25;ADM;Monocytes S100A8+ S100A9+;S100A8;Neutrophils S100A8+ S100A9+;CLEC4E;TMEM51;APOBEC3A;AQP9;ANKRD22;TNFAIP6
5,CYTH1;EIF3L;EHD4;PNRC1;NAMPT;SAMHD1;IL6ST;GK;TRIM14;FKBP5;GEM
6,CD69;TNFAIP3;VMP1;TAP1;RNF213;PSMB9;LY6E;HLA-F;PHF11;GZMB;T cells OGT+;GBP3;IFI6;IFI44;CLEC2B;RARRES3;CCND3;ISG15;CCL5;T cells CD8+ KLRG1+;T cells CD8+;ANXA2R;ISG20;DUSP5
7,SOCS1;DDIT4;RBM25;T cells Naive CD4+;CCDC109B;SLFN5;OPTN;SUN2;T cells CD4+ FOSB+;FAM134B;Tregs
8,Plasma cells;COMMD3;CD9;OGFR;EXT1;ALYREF;Immune Cycling cells;FAM46A;APOL1;MT1X;Macrophages Metallothionein;MT1F;MT1G;IFIT3;CCDC92;IFI44L;WHAMM;TRIM21;MTHFD2L;IFIT1;Mast cells;PNPT1;ST3GAL4;PARP12;ALDH1A1;HEG1;BATF2
9,TRAFD1;SAMD4A;SLC16A1;ERLIN1;BTN3A3;ARG2;HLA-C;HLA-A;CDK17;HLA-E;ARNTL;DDX58;USP18;NDC80;DDX60;IFIT5;TDRD7;BCL2L14;FUT4;IFI27;Macrophages PLA2G2D+;MT1M;TRIM5;IFNLR1;PI4K2B;TMEM140;BUB1;HERC6;MASTL;CRY1;AKT3;HLA-G;ABTB2;ULK4;RPL22;HLA-B;PTMA;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MSR1;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;IGFBP2;HESX1;GJA4;G6PC;FTSJD2;FNDC4;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CCNA1;C5orf27;C22orf28;C1S;C10orf10;B2M;ANGPTL1;AMPH;ABLIM3;AHNAK2;C9orf91;C4orf33;MICB;FZD5;SLC25A30;RTP4;MVB12B;PDK1;ZBP1;STARD5;PMM2
10,MCL1;PIM3;IFITM2;IFI35;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);MAP3K5;ETV7;T cells CD4+ IL17A+;NFIL3;IL1R1;ILCs;ENPP1;IL15RA;NK cells KLRF1+ CD3G-;SPSB1;ATP10D;TLK2
11,CHMP5;JUNB;UBE2L6;RBCK1;TXNIP;KIAA0040;ELF1;IRF9;TAGAP;SMAD3;PRKD2;MCOLN2;OAS2;IRF2
12,PMAIP1;NCOA3;TRIM38;SP110;B cells;NCF1;STAP1;PSMB8;ODC1;HSH2D;AIM2;CD38;IFI16;PXK;PPM1K;B cells AICDA+ LRMP+;RGS1
13,CD74;UNC93B1;GCA;LPCAT1;LGMN;SNN;TYMP;MARCKS;ETV6;IFI30;TFEC;SERPINB9;GAK;SLC15A3;IRF7;IFIT2;SPTLC2;RNF114;CDKN1A;GLRX;BAG1
