cluster_ID,genes
1,PMAIP1;NCOA3;TRIM38;SP110;B cells;NCF1;STAP1;PSMB8;HSH2D;AIM2;ODC1;PRKD2;Plasma cells;CD38;IFI16;PXK;PPM1K;B cells AICDA+ LRMP+;RGS1
2,TYMP;MARCKS;CDKN1A;BAG1;RNF114;SLC25A28;CD74;UNC93B1;GCA;LPCAT1;SNN;IRF7;LAP3;GLRX;ETV6;IFI30;TFEC;SERPINB9;GAK;SLC15A3;LGMN;IFIT2;SPTLC2
3,CYTH1;EIF3L;EHD4;PNRC1;NAMPT;SAMHD1;IL6ST;GK;TRIM14;FKBP5;GEM
4,GCH1;TRIM25;ANKFY1;Monocytes S100A8+ S100A9+;S100A8;Neutrophils S100A8+ S100A9+;CLEC4E;TMEM51;APOBEC3A;AQP9;ANKRD22;TNFAIP6;FNDC3B;SCARB2;SIRPA;Macrophages CCL3+ CCL4+;CCR1;IMPA2;CASP7;FFAR2;OASL;DC2 CD1D-;DC2 CD1D+;Mature DCs;JAK2;ADM;LRG1;STEAP4;CPT1A;TREX1;LIPA;Macrophages CXCL9+ CXCL10+;CXCL10;SECTM1;MAFB;RASSF4;CCL2;CD163;Macrophages;TCF7L2;IDO1;CXCL9;MYOF;CXCL11;THBD;IL1RN;FCGR1A;DC1;ADAMDEC1;CCL8;LAMP3;P2RY6;SERPING1;IL15;Macrophages LYVE1+;CCL19
5,XAF1;GBP4;GBP1;STAT1;IFNGR1;EPSTI1;MX1;DTX3L;SCO2;MYD88;NAPA;PARP9;TRAFD1;CD80;NMI;ADAR;MAX;PUS1;OAS3;PML;ACSL1;ARHGEF3;DCP1A
6,GBP2;GBP5;MCL1;PIM3;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);IFITM2;IFI35;ETV7;ATP10D;IL1R1;NFIL3;ILCs;NK cells KLRF1+ CD3G-;ENPP1
7,BST2;LGALS3;TIMP1;BLVRA;DDX3X;CCL4;SPATS2L;CSRNP1;PLIN2;VAMP5;HES4;IFITM3;TNFSF10;PLSCR1;BCL3;APOL2;MB21D1;CD274;SOCS2;C15orf48;ATF3;RNF19B;MAFF;CEBPD;PFKFB3;TNFSF13B
8,CD69;TNFAIP3;VMP1;TAP1;RNF213;PSMB9;LY6E;HLA-F;PHF11;GZMB;GBP3;T cells OGT+;ANXA2R;IFI6;CLEC2B;RARRES3;CCND3;ISG15;CCL5;T cells CD8+ KLRG1+;T cells CD8+;ISG20;DUSP5
9,SOCS1;DDIT4;RBM25;T cells Naive CD4+;CCDC109B;SLFN5;OPTN;SUN2;T cells CD4+ FOSB+;FAM134B;Tregs
10,WARS;C4orf32;LMO2;B4GALT5;OGFR;EXT1;COMMD3;CD9;ALYREF;Immune Cycling cells;FAM46A;APOL1;MT1X;GBA;ALDH1A1;Macrophages Metallothionein;MT1F;MT1G;IFIT3;PARP12;HEG1;BATF2;TRIM21;MTHFD2L;CCDC92;IFIT1;Mast cells;PNPT1;ST3GAL4
11,T cells CD4+ IL17A+;IL15RA;DDX58;USP18;NDC80;IFI44L;IFI44;TLK2;HLA-E;HLA-C;HLA-A;CDK17;MAP3K5;ARNTL;SLC16A1;BTN3A3;ARG2;TRIM5;IFNLR1;PI4K2B;TMEM140;ERLIN1;IFI27;TDRD7;BCL2L14;FUT4;HERC6;MASTL;CRY1;AKT3;HLA-G;ABTB2;ULK4;RPL22;HLA-B;PTMA;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MSR1;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;IGFBP2;HESX1;GJA4;G6PC;FTSJD2;FNDC4;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CCNA1;C5orf27;C22orf28;C1S;C10orf10;B2M;ANGPTL1;AMPH;ABLIM3;AHNAK2;BUB1;SAMD4A;C9orf91;C4orf33;MICB;FZD5;SLC25A30;RTP4;MVB12B;DDX60;HELZ2;NOD2;CES1;GPX2;IFIT5;MT1M;Macrophages PLA2G2D+;Monocytes CHI3L1+ CYP27A1+;MT1H;GALNT2;PDK1;ZBP1;STARD5;PMM2
12,CHMP5;JUNB;ELF1;TXNIP;KIAA0040;MCOLN2;UBE2L6;RBCK1;IRF9;WHAMM;OAS2;IRF2;TAGAP;TNFRSF10A;SMAD3;SPSB1
