cluster_ID,genes
1,TXNIP;KIAA0040;CHMP5;JUNB;ELF1;IRF2;UBE2L6;RBCK1;IRF9;WHAMM;TAGAP;SMAD3
2,ODC1;PRKD2;HSH2D;Plasma cells;CD38;RGS1;MCOLN2
3,PMAIP1;NCOA3;TRIM38;SP110;B cells;NCF1;STAP1;PSMB8;AIM2;SNN;IFI16;PXK;PPM1K;B cells AICDA+ LRMP+
4,EPSTI1;GBP1;STAT1;DTX3L;NAPA;MX1;PML;PARP9;OAS2;TRAFD1;CD80;IFIT3;NMI;ADAR;ARHGEF3;MAX;PUS1;OAS3
5,ALYREF;Immune Cycling cells;BUB1;CCDC92;IFIT1;Mast cells;MT1G;PNPT1;ST3GAL4;IFI27;SAMD4A;SLC16A1;ERLIN1;BTN3A3;ARG2;DDX58;USP18;NDC80;ARNTL;TRIM5;IFNLR1;PI4K2B;TMEM140;IFIT5;TDRD7;BCL2L14;FUT4;Macrophages PLA2G2D+;MT1M;HERC6;MASTL;CRY1;AKT3;HLA-G;ABTB2;ULK4;RPL22;HLA-B;PTMA;ZNF385B;VEGFC;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MSR1;MKX;MAP3K14;MAB21L2;LEPR;IL17RB;IGFBP2;HESX1;GJA4;G6PC;FTSJD2;FNDC4;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CCNA1;C5orf27;C22orf28;C1S;C10orf10;B2M;ANGPTL1;AMPH;ABLIM3;AHNAK2;HEG1;MVB12B;BATF2;C9orf91;C4orf33;MICB;FZD5;SLC25A30;RTP4;PDK1;ZBP1;STARD5;PMM2
6,EXT1;Macrophages Metallothionein;MT1F;NOD2;TRIM21;MTHFD2L;TNFRSF10A;Mature DCs;DCP1A;DDX60;HELZ2;TRIM25;ADM;ANKFY1;CES1;ACSL1;S100A8;Neutrophils S100A8+ S100A9+;CLEC4E;TMEM51;APOBEC3A;AQP9;ANKRD22;TNFAIP6;GALNT2;TREX1;GPX2;Monocytes CHI3L1+ CYP27A1+;MT1H
7,IFITM2;IFI35;RBM25;GEM;SPSB1;ATP10D;TLK2;NFIL3;IL1R1;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);HLA-C;HLA-A;CDK17;MAP3K5;HLA-E;NK cells KLRF1+ CD3G-;ILCs;ENPP1;IL15RA;ETV7;T cells CD4+ IL17A+
8,CD69;LY6E;HLA-F;PHF11;GZMB;ISG20;DUSP5;VMP1;TAP1;RNF213;PSMB9;CLEC2B;RARRES3;CCND3;ISG15;CCL5;T cells CD8+ KLRG1+;T cells CD8+;GBP3;T cells OGT+;ANXA2R;IFI6;IFI44L;IFI44
9,SOCS1;DDIT4;T cells Naive CD4+;CCDC109B;SLFN5;OPTN;SUN2;T cells CD4+ FOSB+;FAM134B;Tregs
10,CD74;UNC93B1;GCA;LPCAT1;TYMP;MARCKS;IRF7;LAP3;GLRX;CDKN1A;BAG1;RNF114;SLC25A28;ETV6;IFI30;TFEC;SERPINB9;SLC15A3;GAK;MYD88;SCO2;LGMN;IFIT2;SPTLC2
11,Macrophages CCL3+ CCL4+;CCR1;C15orf48;TRIM14;IMPA2;CASP7;FNDC3B;SCARB2;DC2 CD1D-;DC2 CD1D+;JAK2;LIPA;Macrophages CXCL9+ CXCL10+;CXCL10;SECTM1;MAFB;RASSF4;CCL2;CD163;Macrophages;TCF7L2;IDO1;CXCL9;MYOF;CXCL11;THBD;IL1RN;FCGR1A;LRG1;STEAP4;FFAR2;Monocytes S100A8+ S100A9+;DC1;ADAMDEC1;CCL8;LAMP3;P2RY6;SERPING1;IL15;Macrophages LYVE1+;CCL19;CPT1A;OASL
12,EIF3L;GCH1;CYTH1;NAMPT;EHD4;PNRC1;SAMHD1;IL6ST;GK;FKBP5
13,TNFAIP3;BCL3;PIM3;GBP2;GBP5;GBP4;XAF1;MCL1
14,LGALS3;BST2;PLSCR1;IFNGR1;CSRNP1;PLIN2;VAMP5;HES4;IFITM3;APOL2;MB21D1;CD274;SOCS2;TNFSF10;ATF3;RNF19B;MAFF;CEBPD;PFKFB3;TNFSF13B
15,DDX3X;TIMP1;BLVRA;CCL4;SPATS2L;LMO2;OGFR;WARS;FAM46A;APOL1;PARP12;C4orf32;MT1X;B4GALT5;SIRPA;GBA;ALDH1A1;COMMD3;CD9
