cluster_ID,genes
1,DDIT4;PMAIP1;Plasma cells;DUSP5;ISG20;ODC1;ZBP1
2,CD69;SOCS1;ANXA2R;RPL22;CRY1;PTMA;CDK17;SMAD3;FAM134B;STAP1;Mast cells;ST3GAL4
3,PSMB9;PSMB8;CCDC109B;TRIM38;LY6E;ISG15;RARRES3;CCND3;UBE2L6;PHF11
4,MT1X;SLFN5;T cells CD4+ FOSB+;T cells OGT+;SP110;RBM25;HLA-F;T cells Naive CD4+;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);SOCS2;IRF9;Tregs;ARHGEF3;NK cells KLRF1+ CD3G-;SUN2;T cells CD8+ KLRG1+;CCL5;T cells CD8+;GZMB
5,TIMP1;HLA-C;PDK1;COMMD3;CD38;HSH2D;EIF3L;MT1F;EHD4;TAP1;FNDC3B;IRF7;IFI35;B cells;OPTN;PRKD2
6,PPM1K;VAMP5;TREX1;IL15;KIAA0040;RBCK1;ARNTL;GBP3;PMM2;PI4K2B;APOL2;GALNT2;HELZ2;STARD5;WHAMM;ARG2;IFNLR1;APOBEC3A;OASL;PUS1;TRAFD1;LAMP3;C1S;ULK4;USP18;B2M;HERC6;EXT1;FNDC4;TMEM140;ZNF385B;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;NDC80;MT1M;MKX;MAP3K14;MAB21L2;LRG1;IL17RB;IGFBP2;IFIT2;IFIT1;HLA-G;HESX1;HEG1;GPX2;GJA4;G6PC;FZD5;FTSJD2;FFAR2;ETV7;ENPP1;DDX60;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CD80;CCNA1;CCL19;C5orf27;C22orf28;C10orf10;BUB1;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3
7,BAG1;IFI27;MX1;Macrophages Metallothionein;CD274;WARS;GBP5;OGFR;C4orf32;Macrophages PLA2G2D+;CLEC4E;JAK2;TRIM21;C4orf33;AKT3;IDO1;T cells CD4+ IL17A+;Mature DCs;Macrophages CXCL9+ CXCL10+;SPSB1;TNFRSF10A;FUT4;IL15RA;BTN3A3;TLK2;RTP4;AIM2;LEPR;OAS3;PML;TRIM5;IL1R1;DDX58;B cells AICDA+ LRMP+;NOD2;Neutrophils S100A8+ S100A9+;SLC25A28;MICB
8,UNC93B1;NCF1;GBA;IFI6;TNFSF10;NCOA3;ANKFY1;IFI44;FCGR1A;IFI44L;XAF1;MYOF;ATP10D;MAP3K5;IRF2;APOL1;ACSL1;IFIT3;SLC25A30;Macrophages LYVE1+;SLC16A1;CCL2;ADM;IFIT5;CCL8;PNPT1
9,GLRX;RNF114;TAGAP;GK;MTHFD2L;FKBP5;GAK;P2RY6;IMPA2;TCF7L2;ETV6;CYP1B1;NFIL3;CASP7;GCH1;CCDC92;TRIM25;MB21D1;ALYREF;SPTLC2;GBP1;DC1;MASTL;OAS2;ILCs;Monocytes S100A8+ S100A9+;CXCL10;CPT1A;Immune Cycling cells;PARP9;ERLIN1;MVB12B;SAMD4A;DTX3L;C9orf91;MCOLN2;PARP12;MT1H;PXK
10,CSRNP1;PIM3;BCL3;SPATS2L;BLVRA;MCL1;RGS1;PLIN2;CHMP5;NMI;BST2;TXNIP;JUNB;ALDH1A1;IL6ST;GCA;FAM46A;MAX;CD9;NAPA;B4GALT5
11,TNFAIP3;DDX3X;IFNGR1;RNF213;CLEC2B;VMP1;HES4;IFITM2;ELF1
12,CD74;SERPINB9;ATF3;CDKN1A;TYMP;SCO2
13,CCL4;IFI16;DCP1A;GBP2;HLA-A;HLA-E;STAT1;ADAR;HLA-B;SCARB2;RNF19B;TMEM51;TRIM14;CYTH1;CCR1
14,PNRC1;SAMHD1;PFKFB3;TNFSF13B;MARCKS;CEBPD;NAMPT;LGALS3;LIPA;MAFB;C15orf48;Macrophages;MAFF;SLC15A3;SECTM1;IFITM3;LMO2;SNN;DC2 CD1D-;DC2 CD1D+;PLSCR1;IL1RN;GBP4;TFEC;Macrophages CCL3+ CCL4+;LGMN;MSR1;MT1G;SIRPA;THBD;EPSTI1;LPCAT1;CD163;RASSF4;LAP3;SERPING1;ADAMDEC1;GEM;IFI30;MYD88
