cluster_ID,genes
1,SOCS1;ELF1;CCND3;CCDC109B;IFI16;FKBP5
2,ALYREF;Immune Cycling cells;C4orf32;NDC80;BUB1
3,ODC1;LMO2;PMAIP1;MCOLN2;B cells;NCF1;PXK;AIM2;B cells AICDA+ LRMP+;STAP1;MX1;CD38;ISG20;Plasma cells;CD9;HSH2D
4,GLRX;COMMD3;IFI35;CHMP5;RNF114;CASP7;PSMB9;UBE2L6;NMI;RBCK1;TRAFD1
5,CD74;LAP3;EIF3L;PSMB8;GCA;IMPA2;NAPA;BAG1
6,TYMP;MARCKS;WARS;IFNGR1;CDKN1A
7,BST2;SPATS2L;BLVRA;LGALS3;IFI6;VAMP5;SAMHD1;GBP1;STAT1;GBP4;TIMP1;TNFSF13B
8,EPSTI1;VMP1;MAP3K5;Tregs;CYTH1;PLIN2;IL6ST;TRIM14;NAMPT;ETV6;CPT1A;GK
9,LY6E;TAP1;RGS1;MCL1;DUSP5;TNFAIP3;DDX3X;ADAR;CSRNP1;GBP5;HES4
10,IFITM2;CD69;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);ARNTL;MAX;FAM134B;T cells Naive CD4+;SMAD3;HLA-B;CDK17;CCDC92
11,TXNIP;JUNB;HLA-A;HLA-E;PNRC1;HLA-F;HLA-C;DDIT4;RARRES3;RNF213;GBP2;OPTN;SUN2;SLFN5;T cells CD4+ FOSB+;T cells OGT+;ARHGEF3;CLEC2B;ISG15;MT1X
12,SCO2;RBM25;SLC16A1;EHD4;LPCAT1;B4GALT5;PNPT1;PIM3;CD80;OGFR;UNC93B1;SLC15A3;IFI30
13,NCOA3;TRIM38;SP110;TAGAP;PPM1K;TREX1;PFKFB3;BCL3;TRIM25;SPTLC2;ATP10D;RNF19B;TLK2;MTHFD2L;KIAA0040;ZNF385B;PI4K2B;MASTL
14,PUS1;RPL22;TDRD7;SAMD4A;IFIT1;PTMA;IGFBP2;IFIT2;IFI44L;SLC25A30;NFIL3;ACSL1;FZD5;USP18;NK cells KLRF1+ CD3G-;OASL;IL17RB;IFNLR1;TRIM5;ABTB2;NOD2;ARG2;SLC1A1;IFI27;BATF2;Monocytes S100A8+ S100A9+;Neutrophils S100A8+ S100A9+;GPX2;ANGPTL1;Mast cells;VEGFC;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;THBD;TBX3;TAP2;STEAP4;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;PADI2;NT5C3;NRN1;NPAS2;NEURL3;MYOF;MT1M;MT1H;MSR1;MKX;MAP3K14;MAB21L2;LEPR;HLA-G;HESX1;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;FCGR1A;CYP1B1;CXCL9;CXCL11;CXCL10;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CD163;CCNA1;CCL8;CCL2;CCL19;C5orf27;C22orf28;C1S;C10orf10;BCL2L14;AQP9;APOBEC3A;ANKRD22;AMPH;AHNAK2;ABLIM3;Macrophages LYVE1+;Monocytes CHI3L1+ CYP27A1+;ERLIN1;ST3GAL4;LRG1;ENPP1
15,IRF2;PHF11;DDX58;MT1F;HELZ2;MICB;TNFSF10;IFIT5;IL1R1;XAF1;PARP9;DTX3L;IRF9;RTP4;PML;SPSB1;TMEM140;ETV7;Macrophages Metallothionein;CRY1;OAS2;DDX60;TRIM21;IFIT3;OAS3;ULK4;IL15;DCP1A;ANKFY1;BTN3A3;TNFRSF10A;WHAMM;B2M;AKT3;SLC25A28;IFI44;HERC6;Macrophages CXCL9+ CXCL10+;T cells CD4+ IL17A+
16,GALNT2;FNDC3B;IRF7;PRKD2;APOL2;APOL1;STARD5;ADM;PDK1;ZBP1;PMM2
17,SERPINB9;GEM;Mature DCs;DC1;C4orf33;PLSCR1;MYD88;RASSF4;JAK2;LAMP3;P2RY6;CEBPD;IFITM3;DC2 CD1D-;DC2 CD1D+;IDO1;C15orf48;MAFB;SOCS2;SECTM1;Macrophages;IL1RN
18,TFEC;SIRPA;MB21D1;C9orf91;GBA;MT1G;IL15RA;PARP12;Macrophages CCL3+ CCL4+;ILCs;FUT4;EXT1;GCH1;SCARB2;LIPA;ALDH1A1;SERPING1;ADAMDEC1;TMEM51;LGMN;CCR1;Macrophages PLA2G2D+;SNN;GAK;MAFF;FAM46A;CD274;TCF7L2;ATF3;MVB12B
19,GBP3;ANXA2R;T cells CD8+;CCL5;T cells CD8+ KLRG1+;CCL4;HEG1;GZMB
