cell_name,genes
B cells,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;APOBEC3A;AQP9;ARG2;B cells;B cells AICDA+ LRMP+;B2M;BATF2;BUB1;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL15RA;IL17RB;LRG1;MAB21L2;MAP3K14;MICB;MKX;MT1H;NDC80;NEURL3;NK cells KLRF1+ CD3G-;NOD2;NPAS2;NRN1;NT5C3;OASL;PDGFRL;PHF15;PMM2;PPM1K;PRKD2;PUS1;RNASE4;SAA1;SERPINE1;SLC16A1;SLC1A1;SLC25A28;SLC25A30;ST3GAL4;STAP1;STARD5;STEAP4;TAP2;TBX3;TDRD7;TLK2;TLR3;TMEM140;TNFAIP6;TNFRSF10A;TRIM34;UPP2;VEGFC;ZNF385B
B cells AICDA+ LRMP+,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;APOBEC3A;AQP9;ARG2;B cells;B cells AICDA+ LRMP+;B2M;BATF2;BUB1;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL15RA;IL17RB;LRG1;MAB21L2;MAP3K14;MICB;MKX;MT1H;NDC80;NEURL3;NK cells KLRF1+ CD3G-;NOD2;NPAS2;NRN1;NT5C3;OASL;PDGFRL;PHF15;PMM2;PPM1K;PRKD2;PUS1;RNASE4;SAA1;SERPINE1;SLC16A1;SLC1A1;SLC25A28;SLC25A30;ST3GAL4;STAP1;STARD5;STEAP4;TAP2;TBX3;TDRD7;TLK2;TLR3;TMEM140;TNFAIP6;TNFRSF10A;TRIM34;UPP2;VEGFC;ZNF385B
DC1,CCR1;DC1;DC2 CD1D-;DC2 CD1D+;ETV6;LMO2
DC2 CD1D-,CCR1;DC1;DC2 CD1D-;DC2 CD1D+;ETV6;LMO2
DC2 CD1D+,CCR1;DC1;DC2 CD1D-;DC2 CD1D+;ETV6;LMO2
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),CCL5;CCND3;CLEC2B;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);PSMB9;RARRES3;RNF213;SUN2;T cells CD4+ FOSB+;T cells OGT+
ILCs,CYTH1;ILCs
Immune Cycling cells,ALYREF;Immune Cycling cells;T cells Naive CD4+
Macrophages,LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB
Macrophages CCL3+ CCL4+,LGMN;LIPA;Macrophages;Macrophages CCL3+ CCL4+;MAFB
Macrophages CXCL9+ CXCL10+,Macrophages CXCL9+ CXCL10+
Macrophages LYVE1+,Macrophages LYVE1+
Macrophages Metallothionein,Macrophages Metallothionein;MT1M;RPL22
Macrophages PLA2G2D+,APOL1;Macrophages PLA2G2D+;SAMD4A
Mast cells,ADM;C1S;Mast cells;Monocytes CHI3L1+ CYP27A1+;PNPT1
Mature DCs,LAMP3;Mature DCs
Monocytes CHI3L1+ CYP27A1+,ADM;C1S;Mast cells;Monocytes CHI3L1+ CYP27A1+;PNPT1
Monocytes S100A8+ S100A9+,Monocytes S100A8+ S100A9+;SNN
Neutrophils S100A8+ S100A9+,MCOLN2;Neutrophils S100A8+ S100A9+
NK cells KLRF1+ CD3G-,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;APOBEC3A;AQP9;ARG2;B cells;B cells AICDA+ LRMP+;B2M;BATF2;BUB1;C22orf28;C5orf27;CCNA1;CES1;CFB;CLEC4D;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;CYP1B1;FFAR2;FNDC4;FTSJD2;FZD5;G6PC;GJA4;GPX2;HESX1;HLA-G;IFNLR1;IGFBP2;IL15RA;IL17RB;LRG1;MAB21L2;MAP3K14;MICB;MKX;MT1H;NDC80;NEURL3;NK cells KLRF1+ CD3G-;NOD2;NPAS2;NRN1;NT5C3;OASL;PDGFRL;PHF15;PMM2;PPM1K;PRKD2;PUS1;RNASE4;SAA1;SERPINE1;SLC16A1;SLC1A1;SLC25A28;SLC25A30;ST3GAL4;STAP1;STARD5;STEAP4;TAP2;TBX3;TDRD7;TLK2;TLR3;TMEM140;TNFAIP6;TNFRSF10A;TRIM34;UPP2;VEGFC;ZNF385B
Plasma cells,CD38;Plasma cells
T cells CD4+ FOSB+,CCL5;CCND3;CLEC2B;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);PSMB9;RARRES3;RNF213;SUN2;T cells CD4+ FOSB+;T cells OGT+
T cells CD4+ IL17A+,ARNTL;IL1R1;T cells CD4+ IL17A+
T cells CD8+,FAM134B;HERC6;T cells CD8+
T cells CD8+ KLRG1+,GZMB;T cells CD8+ KLRG1+
T cells Naive CD4+,ALYREF;Immune Cycling cells;T cells Naive CD4+
T cells OGT+,CCL5;CCND3;CLEC2B;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);PSMB9;RARRES3;RNF213;SUN2;T cells CD4+ FOSB+;T cells OGT+
Tregs,Tregs
