cluster_ID,genes
1,BST2;CD38;COMMD3;DUSP5;GLRX;HSH2D;ISG20;ODC1;PDK1;Plasma cells;PMM2;RGS1;STARD5;TAGAP;ZBP1
2,AIM2;ATP10D;B cells;B cells AICDA+ LRMP+;IRF9;KIAA0040;LMO2;MCOLN2;MX1;NCF1;NCOA3;PPM1K;PXK;SMAD3;STAP1;TLK2
3,CCDC109B;CCND3;EIF3L;PHF11;PMAIP1;PSMB8;PSMB9;RBM25;TRIM38
4,ANXA2R;CD69;DDIT4;ELF1;IFI16;IFITM2;JUNB;SOCS1;SP110;T cells Naive CD4+;TXNIP
5,ARHGEF3;CCL5;CLEC2B;FAM134B;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);LY6E;MT1X;OPTN;RARRES3;RBCK1;SLFN5;T cells CD4+ FOSB+;T cells OGT+;Tregs
6,CHMP5;DCP1A;GBP3;Macrophages Metallothionein;MT1F;MT1G;MVB12B;OAS3;OGFR;PARP12;TNFSF10;UBE2L6;UNC93B1
7,ADAR;AKT3;ANKFY1;CPT1A;CYTH1;EPSTI1;HLA-E;HLA-F;IL6ST;IRF2;MAX;NMI;OAS2;PARP9;TRAFD1;TRIM14
8,HLA-A;HLA-C;PTMA;RPL22;SLC16A1;TMEM140
9,ALYREF;APOL2;ARNTL;BTN3A3;BUB1;CDK17;CRY1;GZMB;HERC6;IFI44;Immune Cycling cells;MICB;NDC80;OASL;PI4K2B;RTP4;T cells CD4+ IL17A+;T cells CD8+;T cells CD8+ KLRG1+;TRIM21;WHAMM
10,ADAMDEC1;APOBEC3A;C4orf33;C9orf91;CASP7;CCL19;CCL2;CES1;CXCL10;CYP1B1;DC1;DC2 CD1D-;DC2 CD1D+;EXT1;FUT4;FZD5;GEM;HELZ2;IFI27;IFI35;IFI6;IL15;ILCs;IMPA2;IRF7;Macrophages CXCL9+ CXCL10+;Macrophages LYVE1+;Macrophages PLA2G2D+;MASTL;Mature DCs;MB21D1;Monocytes CHI3L1+ CYP27A1+;MSR1;MT1H;MT1M;NOD2;P2RY6;PADI2;RNF114;SCO2;SLC25A28;TNFRSF10A;TREX1;TRIM5
11,ABLIM3;ABTB2;AHNAK2;AMPH;ANGPTL1;ARG2;B2M;BATF2;BCL2L14;C10orf10;C1S;C22orf28;C4orf32;C5orf27;CCL8;CCNA1;CFB;CMAHP;CREB3L3;CRP;CTCFL;CX3CL1;CXCL11;ENPP1;ETV7;FFAR2;FNDC4;FTSJD2;G6PC;GJA4;GPX2;HESX1;HLA-B;HLA-G;IFI44L;IFIT1;IFNLR1;IGFBP2;IL15RA;IL17RB;LEPR;LRG1;MAB21L2;MAP3K14;MKX;MTHFD2L;NEURL3;NK cells KLRF1+ CD3G-;NPAS2;NRN1;NT5C3;PDGFRL;PHF15;PRKD2;PUS1;RNASE4;SAA1;SERPINE1;SLC1A1;SPSB1;TAP2;TBX3;TLR3;TMEM255A;TRIM34;ULK4;UPP2;USP18;VEGFC;ZNF385B
12,ALDH1A1;APOL1;BAG1;CCDC92;CD9;DDX58;DDX60;ERLIN1;GALNT2;HEG1;IFIT2;IFIT3;IFIT5;Mast cells;PML;PNPT1;SAMD4A;SLC25A30;SOCS2;SPTLC2;ST3GAL4;TDRD7
13,ATF3;CD74;CDKN1A;FNDC3B;MARCKS;TYMP
14,DDX3X;FKBP5;GK;HES4;IL1R1;ISG15;NAMPT;PLIN2;PNRC1;SPATS2L;TNFAIP3;VMP1
15,CCL4;DTX3L;GBP1;GBP2;GBP4;GBP5;MAP3K5;RNF213;SUN2;TAP1;XAF1
16,B4GALT5;BCL3;BLVRA;CD274;CSRNP1;ETV6;FAM46A;GAK;IFITM3;LGALS3;MAFF;MCL1;MYOF;PIM3;TIMP1
17,ACSL1;C15orf48;CD80;CEBPD;CXCL9;GCA;IDO1;IFI30;IFNGR1;JAK2;LAMP3;LAP3;LGMN;LPCAT1;Macrophages;MYD88;PFKFB3;PLSCR1;RASSF4;SAMHD1;SERPINB9;SNN;STAT1;TNFSF13B;WARS
18,ADM;ANKRD22;AQP9;CCR1;CD163;CLEC4D;CLEC4E;EHD4;FCGR1A;GBA;GCH1;IL1RN;LIPA;Macrophages CCL3+ CCL4+;MAFB;Monocytes S100A8+ S100A9+;NAPA;Neutrophils S100A8+ S100A9+;NFIL3;RNF19B;S100A8;SCARB2;SECTM1;SERPING1;SIRPA;SLC15A3;STEAP4;TCF7L2;TFEC;THBD;TMEM51;TNFAIP6;TRIM25;VAMP5
