cluster_ID,genes
1,TXNIP;IFITM2;RPL22;CD69;PTMA
2,PSMB9;PSMB8;LY6E;PHF11;SUN2;CCDC109B;OPTN;CCND3;FAM134B;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells OGT+;IRF2;ARHGEF3;T cells Naive CD4+;HLA-B;RBM25;T cells CD8+;T cells CD8+ KLRG1+;GZMB
3,RNF213;ISG15;T cells CD4+ FOSB+;SOCS1;HLA-A;HLA-F;GBP2;CLEC2B;RARRES3;SLFN5;CCL5
4,CCL4;ELF1;TNFAIP3;PNRC1;IFI16;HLA-E;MCL1;PFKFB3;TNFSF13B;CYTH1
5,VMP1;BST2;LGALS3;PLIN2;SPATS2L;HES4;FAM46A;ALDH1A1;CCL2;BLVRA;B4GALT5
6,IFNGR1;NMI;ADAR;DTX3L;IFI30;LMO2;MAX;EPSTI1;XAF1;CCR1;GBP1;ACSL1;GK;LPCAT1;JAK2;CDKN1A;BCL3;THBD;IL1RN;SECTM1;SCO2;ANKFY1;GBP4;EHD4;MVB12B;TMEM51;Macrophages LYVE1+;TCF7L2;GAK;CD80;MYOF;P2RY6;MYD88;DC2 CD1D-;DC2 CD1D+;NAPA;WARS
7,MARCKS;TYMP;PIM3;SERPINB9;SNN;IFITM3;PLSCR1;C15orf48;CEBPD;NAMPT;MAFB;LGMN;SLC15A3;MAFF;RASSF4;Macrophages;LIPA;SCARB2;SAMHD1;LAP3;CSRNP1;NFIL3;TRIM14;IL6ST;STAT1;NCF1;Macrophages CCL3+ CCL4+;RNF19B;TFEC;SIRPA;UNC93B1;CD163;SERPING1;MSR1;ADAMDEC1
8,CD74;ATF3;RGS1;JUNB;EIF3L
9,TIMP1;Plasma cells;ISG20;DUSP5;HLA-C
10,SP110;TRIM38;SPTLC2;GCA;PMAIP1;NCOA3;B cells;MB21D1;PPM1K;PXK;MCOLN2;B cells AICDA+ LRMP+;AIM2;TRIM25
11,DDIT4;CHMP5;RBCK1;PNPT1;ANXA2R;SMAD3;DDX58;TRIM5;CCDC92;HEG1;HELZ2;TNFSF10;CD9;Mast cells;ST3GAL4
12,DDX3X;TAGAP;FKBP5;Tregs;DCP1A;GCH1;CDK17;TLK2;ALYREF;Immune Cycling cells;C4orf32;IFI6;MICB;NDC80;BUB1;TAP1;ARNTL;WHAMM;MX1;GBP5;HERC6;CRY1;AKT3;PI4K2B;KIAA0040;T cells CD4+ IL17A+;NK cells KLRF1+ CD3G-
13,VAMP5;UBE2L6;MASTL;BAG1;GBP3;IL1R1;ILCs;GEM;IFI44;PML;SOCS2;IFI27;Macrophages CXCL9+ CXCL10+;CD274;CASP7;ADM;Macrophages PLA2G2D+;IL15RA;IRF7;FZD5;RNF114;SAMD4A;ETV6;IMPA2;Mature DCs;DC1;Monocytes S100A8+ S100A9+;LAMP3;PADI2;DDX60;C4orf33;PARP9;IFI44L;BTN3A3;MAP3K5;CPT1A;OAS3;TRAFD1;C9orf91;PARP12;SLC16A1;CCL8;GBA;ATP10D;OGFR;ERLIN1;CXCL10
14,B2M;GALNT2;TREX1;ARG2;OASL;IRF9;TMEM140;SLC25A28;IFIT5;TDRD7;RTP4;APOL2;STARD5;MTHFD2L;FUT4;PUS1;Neutrophils S100A8+ S100A9+;IFIT2;SPSB1;TNFRSF10A;HLA-G;APOBEC3A;ZNF385B;VEGFC;USP18;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;S100A8;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IGFBP2;IFIT3;HESX1;GPX2;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;FCGR1A;ETV7;ENPP1;CYP1B1;CXCL9;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CFB;CES1;CCNA1;CCL19;C5orf27;C22orf28;C1S;C10orf10;BCL2L14;BATF2;AQP9;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;OAS2;SLC25A30;PRKD2;IFNLR1;ULK4;APOL1;TRIM21;IFIT1;EXT1;IL15;NOD2;IDO1
15,CD38;COMMD3;GLRX;HSH2D;STAP1;ODC1;IFI35;PMM2;FNDC3B;PDK1;ZBP1
16,MT1G;MT1H;Macrophages Metallothionein;MT1X;MT1F;MT1M
