cluster_ID,genes
1,RGS1;PTMA;TXNIP;RPL22;ELF1;DDIT4
2,CCL4;LY6E;IFI16;PSMB9;CLEC2B;TAGAP;SP110;ADAR;T cells OGT+;IRF9
3,ISG15;PSMB8;MT1X;ARHGEF3;CCND3;SUN2;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);GZMB;RBM25;CCDC109B;RBCK1;T cells CD8+ KLRG1+;T cells CD8+
4,HLA-A;HLA-B;PNRC1;HLA-C;T cells CD4+ FOSB+;GBP5;GBP4;GBP2;HLA-F;HLA-E
5,CD69;TNFAIP3;CCL5;IFITM2;RARRES3;RNF213;SOCS1;SLFN5
6,CEBPD;PFKFB3;SPATS2L;HES4;CSRNP1
7,LIPA;STAT1;MAFB;SIRPA;CXCL10;Macrophages;VAMP5;IFNGR1;PLSCR1;SLC15A3;SECTM1;SERPING1
8,LGALS3;PLIN2;Macrophages CCL3+ CCL4+;ADAMDEC1;NCF1;LGMN;SCARB2
9,JUNB;ALDH1A1;B4GALT5;MAX;CCL2;CD9;FAM46A;Mast cells;TNFSF10;DDX3X;VMP1;B2M;C1S;STAP1
10,DTX3L;RNF114;CHMP5;NAPA;ACSL1;TCF7L2;SAMD4A;MB21D1;LPCAT1;Macrophages LYVE1+;MVB12B;SLC25A30;TRIM14;UNC93B1;CCR1;Macrophages PLA2G2D+;TMEM51;CD163;MSR1;NFIL3;APOL1;PARP12;CLEC4E;PADI2;Monocytes CHI3L1+ CYP27A1+
11,TIMP1;IFITM3;UBE2L6;BST2;GLRX;P2RY6;SCO2;LMO2;ANKRD22;GK;IFI6;TFEC;FCGR1A;IL1RN;MYD88;ILCs;GCA;THBD;DC2 CD1D-;DC2 CD1D+;MYOF;Monocytes S100A8+ S100A9+;S100A8
12,NMI;XAF1;HEG1;ANXA2R;KIAA0040;CPT1A;Macrophages Metallothionein;PRKD2;SMAD3;TRIM38;BCL3;OAS2;CDK17;T cells Naive CD4+;DCP1A;CCDC92;FAM134B;NK cells KLRF1+ CD3G-;OGFR;PARP9;PML;APOL2;ERLIN1;C4orf32;T cells CD4+ IL17A+;ETV7;GBP3;SPTLC2;IFI44;DDX60;ANKFY1;WHAMM;MICB;AKT3;ST3GAL4;DDX58;ALYREF;GEM;IMPA2;TLK2;IFI27;MT1G
13,ZBP1;HSH2D;COMMD3;B cells;IFI35;AIM2;SLC16A1;NDC80;C4orf33;C9orf91;PXK;STARD5;PMM2;ATP10D;PNPT1;MTHFD2L;CCL8;TREX1;TRIM5;IFIT2;FUT4;FZD5;OAS3;IRF7;SLC25A28;TRIM21;MASTL;Neutrophils S100A8+ S100A9+;APOBEC3A;BTN3A3;RTP4;TRAFD1;CRY1;MT1H;MT1M;B cells AICDA+ LRMP+;IGFBP2;IL15RA;EXT1;IFI44L;TMEM140;HERC6;TNFRSF10A;IFIT5;PI4K2B;C10orf10;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IFNLR1;IFIT1;HLA-G;HESX1;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;BUB1;BATF2;ARG2;AQP9;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;ADM;NOD2;ENPP1
14,PMAIP1;Tregs;IL1R1;ARNTL;PHF11;OPTN;MT1F;GALNT2;MX1;PPM1K;GPX2
15,ODC1;FKBP5;BAG1;Immune Cycling cells;CD38;NCOA3;SOCS2;MAP3K5;IRF2;IFIT3;GCH1;GAK;TRIM25;HELZ2;OASL;PUS1;SPSB1
16,MAFF;CYTH1;IL6ST;RNF19B;JAK2;CD274;CASP7;MCOLN2;GBA;EPSTI1;SNN;BLVRA;CCL19;LAMP3;Mature DCs;BCL2L14;CXCL11;EHD4;IL15;CD80
17,CDKN1A;SERPINB9;IDO1;TAP1;ETV6;DC1;EIF3L;PIM3
18,MCL1;DUSP5;Plasma cells;ISG20;FNDC3B;PDK1
19,CD74;TYMP;MARCKS
20,TNFSF13B;ATF3;GBP1;Macrophages CXCL9+ CXCL10+;RASSF4;CXCL9;IFI30;SAMHD1;WARS;NAMPT;LAP3;C15orf48
