cluster_ID,genes
1,EIF3L;ODC1;MCL1;ISG20;FNDC3B;PDK1;NCOA3;GALNT2;ZBP1
2,DUSP5;Plasma cells
3,BST2;GLRX;IFI6;ILCs;NAPA;TCF7L2;TFEC;FCGR1A;IL1RN;ANKRD22;TRIM14;MYD88;P2RY6;SCO2;LMO2;Monocytes S100A8+ S100A9+;DC2 CD1D-;DC2 CD1D+;MYOF;GCA;THBD;Macrophages CCL3+ CCL4+;NCF1;SCARB2;SLC15A3;SECTM1;SERPING1;UNC93B1;CCR1;Macrophages PLA2G2D+;TMEM51;CD163;MSR1
4,IFITM3;CDKN1A;PIM3;SPATS2L;SERPINB9;IDO1;TAP1;GK;ETV6;GBP4;CYTH1;MAFF;IL6ST;RNF19B;JAK2;CD274;EPSTI1;SNN;BLVRA;CCL19;LAMP3;DC1;Mature DCs;BCL2L14
5,RPL22;UBE2L6;NMI;MT1X;PHF11;OPTN;PRKD2;SMAD3;MT1F;MX1;PMAIP1;Tregs;IFI27;MT1G;TRIM38;T cells Naive CD4+;FAM134B;HEG1;ANXA2R;KIAA0040;CPT1A;Macrophages Metallothionein;GPX2;BCL3;T cells CD4+ IL17A+;ETV7;GBP3;ARNTL;DCP1A;CCDC92;GEM;IMPA2;TLK2;NK cells KLRF1+ CD3G-
6,XAF1;DTX3L;RNF114;CHMP5;LPCAT1;Macrophages LYVE1+;MVB12B;CASP7;MCOLN2;GBA;OGFR;PARP9;ANKFY1;PML;APOL2;ERLIN1;C4orf32;ALYREF;SPTLC2;OAS2;DDX60;ST3GAL4;ATP10D;MB21D1;C4orf33;MICB;AKT3;C1S;NFIL3;SAMD4A;APOL1;PARP12;EHD4;CXCL11;IL15;CD80;ACSL1;PNPT1;S100A8;CLEC4E;PADI2;Monocytes CHI3L1+ CYP27A1+
7,IL1R1;SLC16A1;PPM1K;C9orf91;PXK;STARD5;PMM2;HSH2D;COMMD3;B cells;IFI35;AIM2;IFI44;CDK17;BTN3A3;RTP4;DDX58;WHAMM;OAS3;IRF7;SLC25A28;MTHFD2L;CCL8;TREX1;TRIM5;IFIT2;FUT4;FZD5;TRIM21;MASTL;Neutrophils S100A8+ S100A9+;APOBEC3A;TRAFD1;CRY1;MT1H;MT1M;B cells AICDA+ LRMP+;IGFBP2;IL15RA;EXT1;IFI44L;TMEM140;HERC6;TNFRSF10A;IFIT5;PI4K2B;C10orf10;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IFNLR1;IFIT1;HLA-G;HESX1;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;BUB1;BATF2;ARG2;AQP9;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;ADM;NOD2;SLC25A30;NDC80;ENPP1
8,PFKFB3;HES4;CSRNP1;T cells CD8+;CCDC109B;Immune Cycling cells;FKBP5;BAG1;CD38;SOCS2;MAP3K5;IRF2;IFIT3;GCH1;GAK;TRIM25;HELZ2;OASL;PUS1;SPSB1
9,RGS1;JUNB;PLIN2;ALDH1A1;TNFSF10;DDX3X;CD9;B4GALT5;MAX;CCL2;FAM46A;Mast cells;STAP1;DDIT4;VMP1;B2M
10,HLA-A;HLA-B;PTMA;TXNIP;CEBPD;LGALS3;T cells CD4+ FOSB+;GBP5;HLA-E
11,CD74;MARCKS;C15orf48;TIMP1;TNFSF13B;ATF3;GBP1;Macrophages CXCL9+ CXCL10+;RASSF4;SAMHD1;WARS;NAMPT;CXCL9;IFI30;TYMP;LAP3;LIPA;LGMN;ADAMDEC1;STAT1;MAFB;SIRPA;CXCL10;Macrophages;VAMP5;IFNGR1;PLSCR1
12,HLA-C;CCL4;IFI16;PSMB9;CLEC2B;TAGAP;SP110;ADAR;T cells OGT+;IRF9;HLA-F;LY6E;CCND3;SUN2;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);GZMB;ISG15;GBP2;PSMB8;RBM25;ARHGEF3;RBCK1;T cells CD8+ KLRG1+
13,RNF213;PNRC1;CD69;TNFAIP3;SOCS1;SLFN5;ELF1;CCL5;IFITM2;RARRES3
