cell_name,genes
Neutrophils S100A8+ S100A9+,NMI;IRF2;MT1H;UNC93B1;PARP9;IFIT5;BCL3;CASP7;ANKFY1;MYOF;MAX;DTX3L;MAP3K5;MX1;XAF1;JAK2;Neutrophils S100A8+ S100A9+;PML;GAK;Macrophages PLA2G2D+
NK cells KLRF1+ CD3G-,T cells CD4+ IL17A+;GZMB;NK cells KLRF1+ CD3G-;T cells CD8+ KLRG1+;T cells CD8+
Plasma cells,Plasma cells
T cells CD4+ FOSB+,T cells CD4+ FOSB+;CLEC2B;RARRES3
T cells CD4+ IL17A+,T cells CD4+ IL17A+;GZMB;NK cells KLRF1+ CD3G-;T cells CD8+ KLRG1+;T cells CD8+
T cells CD8+,T cells CD4+ IL17A+;GZMB;NK cells KLRF1+ CD3G-;T cells CD8+ KLRG1+;T cells CD8+
T cells CD8+ KLRG1+,T cells CD4+ IL17A+;GZMB;NK cells KLRF1+ CD3G-;T cells CD8+ KLRG1+;T cells CD8+
T cells Naive CD4+,T cells Naive CD4+;T cells OGT+;HLA-F;SLFN5;ANXA2R;SOCS1
T cells OGT+,T cells Naive CD4+;T cells OGT+;HLA-F;SLFN5;ANXA2R;SOCS1
Tregs,Tregs
